Rank,Ticker,Company,Sector,Current_Price,Predicted_Price,Change_Pct,Confidence,Type
1,WIPRO.NS,Wipro,NIFTY_IT,234.14999389648438,239.43072960544472,2.255279029088899,85.0,BUY
2,SUNTV.NS,Suntv,NIFTY_MEDIA,652.7999877929688,667.2653802713855,2.215899624527014,85.0,BUY
3,VBL.NS,Vbl,NIFTY_CONSUMER,549.4500122070312,556.2764228969482,1.2424079603705287,85.0,BUY
4,NTPC.NS,Ntpc,NIFTY_ENERGY,360.25,364.5214390318207,1.1856874481112298,85.0,BUY
1,DIXON.NS,Dixon,NIFTY_CONSUMPTION,16675.0,14756.592167007422,-11.504694650630151,95.0,SELL
2,PRESTIGE.NS,Prestige,NIFTY_REALTY,1303.9000244140625,1186.1647161689912,-9.029473582376717,95.0,SELL
3,LODHA.NS,Lodha,NIFTY_REALTY,1313.4000244140625,1197.3533926564673,-8.835589279767692,95.0,SELL
4,HDFCAMC.NS,Hdfcamc,NIFTY_FIN_SERVICE,4509.60009765625,4133.436354956106,-8.341399116423776,95.0,SELL
5,IDFCFIRSTB.NS,Idfcfirstb,NIFTY_BANK,67.19999694824219,62.22135684058501,-7.408690972845958,95.0,SELL
6,BANDHANBNK.NS,Bandhanbnk,NIFTY_PVT_BANK,168.5399932861328,156.14434559759036,-7.3547218359610245,95.0,SELL
7,OIL.NS,Oil,NIFTY_OIL_AND_GAS,404.0,374.6759587322784,-7.258426056366736,95.0,SELL
8,MUTHOOTFIN.NS,Muthootfin,NIFTY_FIN_SERVICE,2272.699951171875,2117.536850004357,-6.827258525152481,95.0,SELL
9,METROPOLIS.NS,Metropolis,NIFTY_HEALTHCARE,1752.699951171875,1636.1301547279875,-6.650870068544684,95.0,SELL
10,HINDCOPPER.NS,Hindcopper,NIFTY_METAL,224.49000549316406,209.5704401935323,-6.645981974500896,95.0,SELL
