Price,Close,High,Low,Open,Volume
Ticker,ABBOTINDIA.NS,ABBOTINDIA.NS,ABBOTINDIA.NS,ABBOTINDIA.NS,ABBOTINDIA.NS
Date,,,,,
2023-04-24,21952.626953125,21995.12606971273,21687.496210489076,21849.12521160882,4653
2023-04-25,21714.61328125,22063.33311234783,21673.91506992486,21995.176302203774,10076
2023-04-26,21723.228515625,21822.29930134055,21610.769785893837,21722.49826413324,34799
2023-04-27,21564.181640625,21761.106140113203,21526.84182538772,21722.549238970554,9489
2023-04-28,21710.1328125,21796.496459112364,21416.86458246788,21638.811585509426,13254
2023-05-02,21790.55859375,21993.22810951502,21711.69143079309,21732.235459569696,7540
2023-05-03,21973.0234375,22053.497530281427,21715.925474518404,21790.703986141423,10969
2023-05-04,21990.744140625,22189.90882628905,21887.147316255338,22004.91178034807,8892
2023-05-05,22054.375,22102.278737730885,21831.648292455688,22029.204143604366,3879
2023-05-08,21879.501953125,22150.9615302713,21796.789562946633,22054.374361991555,10519
2023-05-09,21351.87109375,22102.27670562769,21066.293339337477,22034.11990521386,26497
2023-05-10,20827.748046875,21453.817047582805,20719.67081658174,21453.817047582805,27318
2023-05-11,20677.21875,21025.352859216106,20599.032391240482,20836.51057197727,18688
2023-05-12,20670.40234375,20965.034107236123,20578.487639626394,20706.038237250763,15506
2023-05-15,20669.0390625,20943.613634556954,20622.302965128605,20738.169539861858,10716
2023-05-16,20636.126953125,20784.660863568213,20517.242393534736,20739.092410926416,8737
2023-05-17,20656.869140625,20778.04145456395,20520.068682740068,20643.724612643175,10602
2023-05-18,20418.369140625,20791.67220292765,20380.833451151084,20768.35359798646,7346
2023-05-19,20348.1640625,20536.228535420185,20062.49121283349,20532.236874446615,17558
2023-05-22,20810.31640625,20971.411020481497,20204.597537957277,20204.597537957277,25214
2023-05-23,20941.763671875,21020.339878055158,20851.309468071442,20874.43410001197,8569
2023-05-24,20904.666015625,21051.786969005334,20865.71926943846,20941.76241102836,16138
2023-05-25,21265.80078125,21356.205538392394,20852.52596652046,21011.77024077086,7369
2023-05-26,21324.755859375,21363.89848262941,21109.137683704223,21362.291548914698,6057
2023-05-29,21317.30859375,21409.0274248222,21174.3732675827,21391.501388181907,6045
2023-05-30,21473.873046875,21503.27898224437,21303.237609455173,21372.02768254036,6888
2023-05-31,21165.513671875,21537.502665738037,21124.910545188755,21445.053581352055,6644
2023-06-01,21033.82421875,21313.31467403227,20982.560182095713,21282.157276082056,10678
2023-06-02,21349.876953125,21416.767231982965,20936.79800809709,21033.191209176082,10784
2023-06-05,21257.28125,21420.66171500473,21148.52131641503,21372.027724665306,3841
2023-06-06,21248.421875,21323.344922164262,21022.530732445564,21225.978050373556,6250
2023-06-07,21290.04296875,21410.922400302523,21226.21823333741,21323.341673150047,7574
2023-06-08,21075.30078125,21362.28960814151,21031.242276018987,21362.28960814151,4828
2023-06-09,21217.361328125,21294.134725706186,20885.290853308135,21128.611044710757,11353
2023-06-12,21382.154296875,21420.71119668971,21109.234202176693,21217.360870964105,7816
2023-06-13,21572.310546875,21662.131483163263,21362.34041608529,21420.711093135425,10928
2023-06-14,21458.390625,21752.391016377805,21342.37952612089,21744.94207082818,7374
2023-06-15,21841.87109375,21902.675939313216,21490.230285960904,21576.496946662854,12198
2023-06-16,22113.474609375,22150.96085081484,21829.650209901924,21841.870511621302,16868
2023-06-19,22485.416015625,22686.478583327018,22108.412291004708,22113.961441395848,20737
2023-06-20,22391.361328125,22579.22993657329,22115.03340000285,22485.41734093241,12863
2023-06-21,22081.734375,22482.00917754896,22005.8852066602,22482.00917754896,8024
2023-06-22,21960.951171875,22163.571248688593,21853.020376455555,22016.59671860689,10211
2023-06-23,22062.650390625,22121.70187179018,21878.383602045153,22073.067884307304,8049
2023-06-26,22239.712890625,22330.068203680228,22003.744664879796,22004.912306624497,9642
2023-06-27,22109.875,22411.126576241095,22036.11959552979,22205.48850623848,18854
2023-06-28,22591.353515625,22879.266582870197,22112.015665034567,22112.015665034567,17998
2023-06-30,22802.4921875,22837.39782771595,22540.42889412169,22540.42889412169,9015
2023-07-03,22637.50390625,22928.77727166491,22557.518545695362,22881.213937075463,5169
2023-07-04,22598.0703125,22744.900309767392,22540.42988746212,22618.273937561116,3896
2023-07-05,22692.322265625,22783.847121583498,22541.40362016152,22541.40362016152,6095
2023-07-06,23198.38671875,23241.422114035737,22589.113537873942,22693.246643267503,14956
2023-07-07,22880.630859375,23187.920323848026,22833.55435759559,23187.920323848026,6240
2023-07-10,22852.439453125,22992.891148803657,22670.656286017074,22881.21212095995,4870
2023-07-11,23069.326171875,23180.08098501033,22693.733475901783,22929.89757658901,11542
2023-07-12,22944.015625,23221.99803332343,22882.77148464826,23037.974652682,7679
2023-07-13,22776.59375,23054.576154588267,22686.47995413871,22978.58055440659,7927
2023-07-14,22680.5390625,22832.57779258834,22553.134908323358,22778.927132126646,4693
2023-07-17,22542.328125,22900.638203845614,22471.34919867297,22735.163970231315,16350
2023-07-18,22730.9296875,22782.87453372479,22385.227845441805,22637.797893461317,8260
2023-07-19,22850.689453125,22948.25029249975,22589.11298641497,22726.594240981234,15305
2023-07-20,23185.21484375,23243.900564443735,22974.672238441355,23109.97335483943,7312
2023-07-21,22853.751953125,23188.023374421835,22820.384303256636,23066.824738496987,7258
2023-07-24,22841.33203125,23015.51536297061,22680.849247650578,22889.337858520055,10909
2023-07-25,22659.115234375,22919.997477618268,22558.86210496695,22918.961657610558,8996
2023-07-26,22618.74609375,22711.704196561648,22544.371140110674,22659.114192454523,9666
2023-07-27,23368.3203125,23474.782583852295,22583.752133276692,22618.746676174902,24755
2023-07-28,23717.376953125,23799.195175982066,23285.66337746518,23461.12896383334,16562
2023-07-31,23725.904296875,23894.864241799747,23612.986446334402,23806.14568644653,7074
2023-08-01,23602.291015625,23751.387486965294,23431.55784303313,23751.387486965294,6810
2023-08-02,23741.775390625,23889.936152653325,23405.13775100746,23657.29637827634,17029
2023-08-03,24206.169921875,24306.61750714707,23692.389726218746,23860.067420172014,34082
2023-08-04,23524.21875,24306.370651981713,23461.129997066713,24298.977438747344,12946
2023-08-07,23623.533203125,23878.450799110164,23281.818517480213,23658.281303789943,9545
2023-08-08,23435.845703125,23898.80911831595,23363.4422689229,23559.707058560933,7620
2023-08-09,23410.955078125,23756.859277313062,23323.124087187847,23549.849300207847,23572
2023-08-10,23547.630859375,24391.93582033008,23462.116025326133,24003.249182013864,57565
2023-08-11,23394.88671875,23902.750391113826,23363.53872565939,23902.750391113826,12075
2023-08-14,23301.240234375,23418.249385832114,22838.719658739134,23362.55384607249,18629
2023-08-16,23563.845703125,23638.76359755222,23066.825389432917,23313.315889842535,7441
2023-08-17,23321.890625,23553.741016705942,23293.549974903577,23553.741016705942,5845
2023-08-18,23066.4296875,23388.330949096093,23019.606005537626,23332.98004314477,4753
2023-08-21,23102.36328125,23249.191729188587,22978.107237964214,23147.5600740873,5014
2023-08-22,23144.05859375,23248.05645655828,22996.53896537631,23102.36202764294,6529
2023-08-23,22900.330078125,23263.977983446388,22743.397573041024,23263.977983446388,7668
2023-08-24,22834.826171875,23110.19833004238,22820.384377259903,22909.05287602056,8568
2023-08-25,22890.373046875,22936.653789799373,22700.219224804714,22767.15283108501,8733
2023-08-28,23055.439453125,23123.94989719102,22785.88366310961,22968.151402241983,6122
2023-08-29,23081.5625,23140.66007512833,22885.29771058783,23140.66007512833,11307
2023-08-30,23030.994140625,23150.61595039169,22919.947688420572,23150.61595039169,8440
2023-08-31,22780.51171875,23087.181820828133,22742.361582999933,23030.99339984756,6976
2023-09-01,22381.376953125,22906.68979942941,22214.19213753797,22790.812730149497,18058
2023-09-04,22027.09375,22672.471227068192,22002.25332289209,22572.56465420689,15081
2023-09-05,22468.71484375,22572.95915268912,22039.958524769358,22212.2203969879,25555
2023-09-06,22777.6015625,22830.241623846137,22430.218744438407,22574.24007317314,26456
2023-09-07,22701.158203125,22859.717601166092,22613.42540426717,22726.737951317264,12869
2023-09-08,22674.7890625,22824.32835506095,22475.41874161328,22702.04383558475,8725
2023-09-11,22657.83203125,22806.141041834322,22525.73995665446,22721.80835393446,8108
2023-09-12,22571.234375,22918.961849949228,22422.434401416736,22701.108492149713,18817
2023-09-13,22676.611328125,22721.80811886442,22233.856057309633,22669.56274661714,15208
2023-09-14,22584.392578125,22856.168245546913,22534.563477263233,22811.85710006051,16366
2023-09-15,23018.671875,23309.273296353025,22574.93081886942,22584.39374701792,22279
2023-09-18,22976.48046875,23169.345148327764,22786.91963142669,23018.67184355426,18594
2023-09-20,22861.29296875,23032.372685676964,22807.96364466933,22968.19805734176,4759
2023-09-21,22513.171875,22858.484992239904,22475.368296284134,22772.08258826578,4203
2023-09-22,22222.2734375,22611.402885980282,22040.646836151063,22513.17134311834,9333
2023-09-25,22328.14453125,22412.228852445012,22019.99579652642,22273.236447166917,4373
2023-09-26,22387.439453125,22687.750239816905,22201.32685852082,22416.222927038605,11513
2023-09-27,22419.4765625,22478.670401938816,22061.05204061716,22387.43930479104,9786
2023-09-28,22052.130859375,22517.755023868554,21686.75789191911,22517.755023868554,17582
2023-09-29,22849.4140625,22914.03151431115,21885.635584979893,22150.06617021173,18207
2023-10-03,22792.587890625,22968.249872744218,22408.33717198376,22913.982915686716,13820
2023-10-04,22491.08984375,22869.6724108324,22392.56372777883,22771.09623664778,4764
2023-10-05,22536.435546875,22672.422538352832,22426.130344970057,22621.261117382714,3094
2023-10-06,22708.40234375,22788.84011741947,22504.890675443345,22572.95829435022,5532
2023-10-09,22635.60546875,22782.630301474037,22475.369117481197,22642.948624058907,9485
2023-10-10,22424.158203125,22662.612428665052,22376.791581215493,22662.612428665052,6996
2023-10-11,22110.8828125,22652.46071084046,22061.34828384659,22475.36822483031,20037
2023-10-12,21989.19140625,22256.47916975147,21952.91460301222,22256.47916975147,7647
2023-10-13,22070.466796875,22166.676760946997,21819.73867474009,21883.911381159487,5334
2023-10-16,22156.869140625,22426.080295282318,21785.335143988537,21989.73246218806,16710
2023-10-17,22103.390625,22254.999623779888,22049.568419642306,22176.731682724585,4443
2023-10-18,22108.615234375,22278.21631944656,21996.831388316936,22102.750721886317,5601
2023-10-19,22333.517578125,22359.936764546066,21934.185857181983,22124.437884975614,6679
2023-10-20,22317.892578125,22403.407410388438,22014.0815752993,22327.601946350514,9241
2023-10-23,22392.61328125,22431.007930103115,22085.055624726505,22279.200625280617,14792
2023-10-25,22190.828125,22572.959065179883,22086.682007580097,22396.45764783656,15093
2023-10-26,21915.849609375,22160.909591935826,21737.032045361724,22159.92383019961,12651
2023-10-27,22347.908203125,22475.367967911498,22012.158135123682,22475.367967911498,6072
2023-10-30,22161.650390625,22564.975216949413,22081.064363316913,22228.978691823486,10699
2023-10-31,22094.51953125,22294.825551427977,22039.71156227322,22161.699580482684,5232
2023-11-01,21918.36328125,22197.333867041267,21836.645169339907,22101.714973678183,5098
2023-11-02,22063.41796875,22313.949705858868,21844.48066626904,22030.69144834749,7027
2023-11-03,22471.57421875,22573.945196510274,21998.310364125668,22573.945196510274,10127
2023-11-06,22982.048828125,23061.79733664169,22386.648746964,22473.395778656333,13291
2023-11-07,23447.771484375,23510.4174128488,22826.348826008852,22830.291872954404,22283
2023-11-08,23920.19921875,23951.20258239228,23313.562950361204,23362.55454144619,18187
2023-11-09,23539.447265625,24106.853259890613,23461.27751531901,23917.536948775418,24641
2023-11-10,23368.123046875,23799.1473652918,23170.379627994414,23539.44728114422,13934
2023-11-13,22822.998046875,23605.987479923777,22771.097303671617,23541.618390354506,18257
2023-11-15,22599.8203125,23053.615348879895,22539.49246354889,22967.90413487576,17952
2023-11-16,22961.892578125,23013.05207536261,22570.10039498606,22603.518105115265,23823
2023-11-17,23289.115234375,23361.568726141377,22918.961681201192,22968.249770838185,25702
2023-11-20,23634.427734375,23707.62054554691,23000.779300662045,23263.781310123984,17365
2023-11-21,23609.5859375,23829.016126844228,23472.170358939966,23663.21176392782,7418
2023-11-22,23563.896484375,23823.348219752323,23438.951176348415,23580.506185625392,5685
2023-11-23,23546.3984375,23658.282398007243,23436.83063208104,23654.389409155618,2820
2023-11-24,23703.478515625,23751.92909013745,23487.400312663245,23546.397767651724,6351
2023-11-28,23360.3359375,23724.03197167532,23332.98104843814,23659.514634086438,4778
2023-11-29,23202.6640625,23441.168351622564,23165.40149762425,23360.582327263808,5327
2023-11-30,23466.20703125,23510.418061283184,23097.68038100037,23254.120002753472,7069
2023-12-01,23342.345703125,23585.237786967726,23277.974689774986,23412.925860401967,6396
2023-12-04,23065.59375,23579.422084513062,23017.5378625995,23579.422084513062,18405
2023-12-05,22781.396484375,23349.688123751126,22672.569929246747,23165.40073779532,32166
2023-12-06,22749.4609375,22986.979473698375,22554.23004237827,22955.63147825083,18107
2023-12-07,22744.875,22940.40045334264,22633.18742628717,22692.234938753965,22327
2023-12-08,22532.54296875,22820.385411084193,22405.035066429886,22810.4777349802,8428
2023-12-11,22718.408203125,22766.1675897305,22366.984139659362,22656.79809382177,13002
2023-12-12,22500.01171875,22836.05828102772,22436.430086510816,22718.408002404904,12943
2023-12-13,22456.490234375,22621.26069636855,22398.57673141563,22500.012000811057,8835
2023-12-14,22418.193359375,22580.00653310854,22181.660601377967,22544.370861353716,12923
2023-12-15,22371.666015625,22515.833668221814,22288.07265103568,22418.193199020494,11975
2023-12-18,22455.94921875,22608.347600610745,22297.930839710913,22426.129925739333,20584
2023-12-19,22576.162109375,22724.272812774605,22428.29784641366,22456.638496814587,11982
