Price,Close,High,Low,Open,Volume
Ticker,ATGL.NS,ATGL.NS,ATGL.NS,ATGL.NS,ATGL.NS
Date,,,,,
2023-04-24,890.5711059570312,922.2504638659117,888.4224782649374,918.4029893424943,384326
2023-04-25,934.6424560546875,935.0921759311209,889.4218507229851,894.418602693339,730197
2023-04-26,919.4523315429688,946.2349103033665,914.8053887387188,944.3861364450372,507582
2023-04-27,916.5042114257812,924.3991038460202,909.4088481079766,914.4056000206579,231717
2023-04-28,944.3861083984375,952.2309844774071,916.7540460137621,924.3991008132854,1123964
2023-05-02,958.427001953125,989.3569094527965,940.5886214687704,949.3828929092491,1279904
2023-05-03,922.3505249023438,957.3777465406633,915.2550999956017,957.3777465406633,716246
2023-05-04,929.5957641601562,934.3926339320426,911.1077815636398,915.404976130215,335815
2023-05-05,918.2031860351562,938.3900774292215,914.8054310847959,937.3907269740254,288689
2023-05-08,872.3329467773438,887.2232304268608,872.3329467773438,879.4283098793044,1276025
2023-05-09,844.551025390625,882.7761794013014,838.4550121557537,838.4550121557537,1024558
2023-05-10,835.556884765625,858.3920790885546,834.4576236715674,846.0500644644891,565081
2023-05-11,854.4945678710938,858.7418071732379,837.0558907726002,845.30053177088,609709
2023-05-12,817.8184204101562,859.4413912570296,811.7723623568107,811.7723623568107,2633802
2023-05-15,776.9450073242188,836.7061510946093,776.9450073242188,831.5095166372905,1709838
2023-05-16,738.1201782226562,776.9449777116754,738.1201782226562,751.761335528759,1876603
2023-05-17,701.2442016601562,722.430442755616,701.2442016601562,711.2377058565515,1677460
2023-05-18,666.2169799804688,682.2565419763648,666.2169799804688,670.5641298967973,2968685
2023-05-19,687.6530151367188,699.4953544785227,632.9385784058119,632.9385784058119,11382817
2023-05-22,722.0307006835938,722.0307006835938,711.1377563719622,721.9807453601572,701988
2023-05-23,758.107177734375,758.107177734375,758.107177734375,758.107177734375,228579
2023-05-24,795.9826049804688,795.9826049804688,758.5069644446651,795.9826049804688,6317589
2023-05-25,795.8826904296875,822.86515148299,769.549770545178,810.872946570411,4017123
2023-05-26,760.2058715820312,806.1260352713994,756.1084982902736,803.4277769564386,2595733
2023-05-29,728.726318359375,765.9521204774087,724.5290345120657,731.7243695366662,2630741
2023-05-30,697.5965576171875,728.4765103977757,692.300012520929,728.4765103977757,3638539
2023-05-31,663.7186279296875,689.4519021010881,662.7192774764293,674.5615559493353,32048979
2023-06-01,693.89892578125,696.8969769809884,650.1273904641708,652.5758111430588,16589982
2023-06-02,673.9619140625,701.9437244281589,667.5660472950042,693.8989051516271,4373895
2023-06-05,681.0573120117188,696.1474789728356,675.0612094848364,681.1072673336743,3119786
2023-06-06,677.9593505859375,697.5465944561295,675.7607674587505,693.5491927687018,1602723
2023-06-07,679.6082763671875,685.2546309328794,674.5615686820759,684.2552804607578,1611677
2023-06-08,670.4641723632812,684.5050325429393,667.5660319580758,679.5582361249873,1759734
2023-06-09,668.6653442382812,674.5615361375391,666.5667327462793,674.5615361375391,710454
2023-06-12,669.7646484375,674.5615181452089,668.5654157616958,673.9619323050606,659294
2023-06-13,662.71923828125,672.5628152654613,661.5699609297702,672.4128883081353,944852
2023-06-14,653.9249267578125,665.5673836171878,652.675738725498,662.7192593017144,1048074
2023-06-15,668.6653442382812,682.5563395287987,655.6737887274842,658.5219740329261,1888440
2023-06-16,670.81396484375,681.7568640671185,669.1150569422507,675.9606438698049,1008270
2023-06-19,657.1228637695312,675.4609807774895,654.5745323693328,673.6121458826519,1271532
2023-06-20,658.1721801757812,663.9684615663731,653.5751925165298,659.271502265088,662112
2023-06-21,655.3740234375,661.0703332930962,652.5758543316581,658.9717217125927,801023
2023-06-22,654.7244873046875,665.5674155471531,652.6258147124116,659.5213573797987,712539
2023-06-23,633.887939453125,657.572555868146,629.5907449801398,657.572555868146,2019933
2023-06-26,643.5816650390625,651.5265130099974,619.6472104833063,631.5894601004464,1100925
2023-06-27,641.0833129882812,651.576492702041,638.5849368659574,646.6296957807378,591690
2023-06-28,654.0748291015625,658.4719952080111,642.5822996368291,650.5771027427306,1489233
2023-06-30,654.1747436523438,669.2150158816258,649.677666878394,664.1682475944541,1164032
2023-07-03,657.2727661132812,663.568661394276,654.5745078512813,663.568661394276,670512
2023-07-04,649.7276611328125,661.5699385039022,648.2785909113086,657.5725370627911,587024
2023-07-05,649.4778442382812,652.5758060556565,644.6309582391852,649.7276818363117,510284
2023-07-06,648.3285522460938,652.7756735896961,645.730265683464,647.5790394689307,433427
2023-07-07,643.0799560546875,647.8287003862223,641.8302864937573,642.3801288967622,495225
2023-07-10,639.3309326171875,651.7776533606068,635.3819646919794,639.8308004300235,683699
2023-07-11,640.7305908203125,645.8292181348213,639.8308043440954,645.779243557036,432502
2023-07-12,635.531982421875,644.8295120192786,632.1328567105982,642.3301728254054,575095
2023-07-13,630.0833740234375,637.8313250725158,629.8334401186285,637.8313250725158,583021
2023-07-14,633.7324829101562,637.8313748613734,624.8348107968,629.8334892831743,681426
2023-07-17,646.8289794921875,655.8266005361282,638.8310941197957,643.3299046417661,637297
2023-07-18,645.5792846679688,660.7752784853278,641.9302252018424,649.6282017756711,1246839
2023-07-19,640.9805297851562,649.5282573005722,639.8308093919218,648.8284301489957,391334
2023-07-20,639.8807983398438,644.6295427349415,638.3312202673532,640.9805441795955,350264
2023-07-21,636.0318603515625,641.4804320844546,634.8321653156651,639.6808590210962,367867
2023-07-24,630.9331665039062,641.8303098798814,628.9336951335639,640.7805996142564,431948
2023-07-25,662.474853515625,662.474853515625,627.8339888022851,630.9831805104149,1552281
2023-07-26,663.6744995117188,678.2207023120635,652.4775088332314,672.9220544507167,2615188
2023-07-27,654.2770385742188,665.8239736613884,652.3275417628467,664.474354879144,617875
2023-07-28,657.6760864257812,661.8250138659337,653.8271285019948,660.8252781954413,441296
2023-07-31,663.5245361328125,668.67313790958,659.8754767510586,664.8241802211703,665841
2023-08-01,661.47509765625,670.62264197165,657.8260382341215,667.7734198610706,792301
2023-08-02,651.82763671875,668.8231425841162,645.3793296424981,666.8236713058378,728085
2023-08-03,655.3267211914062,663.4745911790454,643.8297611705044,653.3772244623185,528706
2023-08-04,649.478271484375,661.7750074357996,643.8297408103409,661.7750074357996,447631
2023-08-07,650.5280151367188,655.2267850073201,643.9297230783136,654.8268663301964,770232
2023-08-08,652.1775512695312,663.824496435382,649.8281968117445,650.7279833380164,678200
2023-08-09,646.678955078125,657.6760467907989,643.6797482473958,653.7271399455541,471298
2023-08-10,646.678955078125,653.0273128145801,644.1296414758091,648.8284110477554,418730
2023-08-11,648.87841796875,654.8268573500087,646.8289720693979,654.8268573500087,331064
2023-08-14,635.4319458007812,647.7787175161484,628.6337556801408,643.3298817323767,746617
2023-08-16,635.3819580078125,641.8302649293646,631.3330409702395,634.8321156232812,461284
2023-08-17,633.532470703125,639.730843712824,632.8326435696232,639.630833540027,362303
2023-08-18,654.3269653320312,676.621057523803,632.3327816233916,632.8326494349516,2738493
2023-08-21,664.3243408203125,673.4719464446343,655.8265877774643,658.8257947337637,1528172
2023-08-22,672.3721923828125,679.8202351035601,666.8236717854038,669.7729041267896,1484767
2023-08-23,654.027099609375,685.8186822993292,646.8789650291121,679.8202681684313,1475566
