Price,Close,High,Low,Open,Volume
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS
Date,,,,,
2023-04-24,17974.689453125,18053.469248928744,17887.60905744937,18015.806378071793,13782
2023-04-25,18017.103515625,18111.764849522406,17915.918273051975,18038.838008273997,13444
2023-04-26,18194.380859375,18267.931783571483,17924.792217714472,17924.792217714472,17670
2023-04-27,18344.74609375,18404.430201156196,18131.290042345474,18194.38135025611,14870
2023-04-28,18588.5234375,18639.475894456493,18384.471844604435,18404.431518955655,24308
2023-05-02,18997.728515625,19047.721403682026,18579.07017292559,18588.52149942874,29017
2023-05-03,18536.466796875,18949.367794183127,18496.118268996397,18946.584684707548,22537
2023-05-04,18417.146484375,18683.425418344705,18308.475892403578,18533.924640172103,27882
2023-05-05,18543.421875,18615.533452869895,18447.658554200098,18452.358916424222,10241
2023-05-08,18530.7578125,18748.530034103285,18490.84033932552,18548.316702878503,18577
2023-05-09,18448.90625,18651.51848999547,18260.54502955818,18571.059452586505,22253
2023-05-10,18572.1171875,18669.22429298617,18205.803712186284,18575.571242300073,43422
2023-05-11,18686.44921875,18875.818753355477,18279.689763051247,18423.624328114645,61928
2023-05-12,18210.888671875,18845.78250004832,18031.210367525564,18740.279219997345,59933
2023-05-15,18451.5,18557.818538569878,18164.590439941032,18333.185040456974,25309
2023-05-16,18239.099609375,18518.62128658391,18101.306626167734,18375.646284164046,41812
2023-05-17,18361.873046875,18442.763131530282,18179.027458516553,18327.664230693426,13967
2023-05-18,18245.671875,18537.665971194514,18203.59350934279,18471.551660429795,13824
2023-05-19,18120.58984375,18385.23822929843,17959.287580461307,18385.23822929843,25164
2023-05-22,18068.775390625,18174.136233124525,17983.231787240882,18121.408958179105,10716
2023-05-23,18092.140625,18264.862073009175,18032.83884485779,18073.380406959943,17174
2023-05-24,17993.017578125,18145.29957706392,17934.24430558796,18092.141251099616,12145
2023-05-25,18021.7109375,18098.380455271174,17924.986162703008,18069.496087335283,10507
2023-05-26,18175.765625,18220.67395245485,18012.928426968032,18021.708808994823,11558
2023-05-29,17556.17578125,18231.708561639156,17507.908982083012,18231.708561639156,62648
2023-05-30,17791.173828125,17871.824027398936,17550.418936555066,17560.01457293372,23849
2023-05-31,17817.5625,17922.681576003146,17694.354149422834,17791.17449896371,14053
2023-06-01,17849.802734375,17962.12040748633,17737.00527944627,17847.83487926459,43911
2023-06-02,17992.77734375,18027.657106323553,17852.681055968682,17886.265782491602,13726
2023-06-05,18109.5078125,18202.92095135601,17975.024603124748,17993.92725582426,20032
2023-06-06,18116.130859375,18174.231314539626,18052.31987594075,18169.337914699787,8268
2023-06-07,18206.375,18350.11837262724,18117.710951190093,18135.751495988,13222
2023-06-08,18008.03515625,18290.43360953777,17971.091956303033,18206.376209942533,10888
2023-06-09,17999.87890625,18177.924814637572,17963.03128775327,18040.75594236374,6743
2023-06-12,18226.720703125,18269.083939731627,17981.214839449458,18015.71227778861,23105
2023-06-13,18289.37890625,18504.993984729386,18202.922595478467,18222.11386864186,27247
2023-06-14,18301.0859375,18565.63687726945,18254.258483292095,18289.378136874177,9755
2023-06-15,18255.07421875,18503.265729866955,18219.66594549012,18301.757364816287,9818
2023-06-16,18227.537109375,18421.704454956947,18116.6119172188,18375.54981445767,23506
2023-06-19,18177.685546875,18390.228899793507,18148.803055235723,18228.83104014837,7450
2023-06-20,18287.98828125,18375.2129925721,18045.794039195825,18230.749934233645,18548
2023-06-21,18425.25390625,18663.418745701296,18299.0244235537,18327.715753570144,40492
2023-06-22,18115.888671875,18548.218899891835,17993.784211534734,18533.9697561669,18492
2023-06-23,17864.1484375,18193.038891301443,17742.38130490753,18115.891470165625,30239
2023-06-26,17836.75390625,18038.549023915435,17780.715012438977,17864.24578054564,10300
