Price,Close,High,Low,Open,Volume
Ticker,BSOFT.NS,BSOFT.NS,BSOFT.NS,BSOFT.NS,BSOFT.NS
Date,,,,,
2023-04-24,258.9969177246094,260.12128496301693,249.75750610326327,251.27296862541752,1676286
2023-04-25,259.3391418457031,263.738863385027,255.428278255193,259.29026798583027,1594968
2023-04-26,261.4901123046875,262.5167019976033,258.1169807350737,259.0946965711914,845386
2023-04-27,265.1565856933594,269.1651973410735,258.8503056877696,262.02788262255814,2306301
2023-04-28,266.8675537109375,271.7561329704343,265.30320238039457,266.9164275685245,2199682
2023-05-02,272.0982971191406,274.15150628108813,266.9652891330311,268.3829889880116,2686833
2023-05-03,269.40960693359375,273.2227228507442,267.45417511455105,272.2450069412229,1040500
2023-05-04,280.6044616699219,281.7777326781147,268.92074479778597,269.40960274494614,3084961
2023-05-05,275.3736572265625,282.21766802847435,274.29816384732965,280.60444287838465,1642424
2023-05-08,281.3377380371094,282.46210530589616,274.34707562245757,277.9157325353548,2382236
2023-05-09,301.38092041015625,306.61170634260554,285.93302142065374,292.3370485081483,20222326
2023-05-10,300.1587829589844,305.04736248600364,294.97690059535256,302.1142147697921,4394968
2023-05-11,299.2788391113281,303.9229895766439,297.2256297802106,301.52757371742,1784869
2023-05-12,300.6476135253906,305.0473346989329,297.2744820240007,299.18103980087653,2277457
2023-05-15,301.72314453125,302.8475118928068,297.22564524750044,301.82092209258593,2054933
2023-05-16,321.0329895019531,327.0459357157708,300.9898155642153,302.6030406697491,16881729
2023-05-17,313.8956604003906,320.6907974646027,309.3981913791345,320.6907974646027,5372474
2023-05-18,311.8913269042969,322.25511990999945,310.8158336026407,315.31333205841923,2825454
2023-05-19,327.1925964355469,329.8324411106957,312.9668430486828,313.84678132789264,10244689
2023-05-22,332.52117919921875,333.4011175301813,324.79722965795924,327.19261567905056,3643637
2023-05-23,327.2903747558594,338.191900314951,326.11710382247367,331.9345249577723,3079002
2023-05-24,323.4283752441406,329.2457961988455,317.75763552969494,326.99706179010417,1588833
2023-05-25,327.9259033203125,331.83676687771043,320.05530234605754,324.1128173193537,2917161
2023-05-26,331.9345703125,336.3342921575847,327.73040359553954,330.22356737274487,4851118
2023-05-29,331.9833984375,335.7476103538602,329.0013770883488,335.2098785818884,3389349
2023-05-30,329.19696044921875,333.4011269478634,328.51254737384784,332.0323306346434,2186123
2023-05-31,335.84539794921875,337.31197173939,326.5570972781341,329.19694203545043,3074082
2023-06-01,336.1875915527344,342.5427443993361,334.4276851696256,336.3342429586137,2102679
2023-06-02,340.049560546875,347.52911066613296,337.80082602786246,338.24081009517874,4103271
2023-06-05,338.7296447753906,346.1113869981116,337.06751601016657,343.471542450407,1932526
2023-06-06,335.894287109375,338.2897030107895,324.7972354615527,338.2897030107895,4504948
2023-06-07,332.8634033203125,338.92522423873856,332.1301163661666,336.28540910632677,1279098
2023-06-08,326.2637634277344,333.0099962534578,324.699412232816,332.42336082567374,1493151
2023-06-09,321.1796569824219,329.78354453430984,319.81086075882877,328.46365200576787,1069100
2023-06-12,330.1746520996094,333.3522285892006,321.17965440945096,321.17965440945096,3123973
2023-06-13,328.4147644042969,334.8676953031911,327.53482606297524,331.88567374717854,1540537
2023-06-14,330.71240234375,332.3745313045807,326.0682518304231,329.49025747182185,1179052
2023-06-15,327.4859313964844,332.6189395385138,326.7526445190516,329.93022098792693,1135497
2023-06-16,332.1300964355469,338.19191699021235,329.00139368393064,329.00139368393064,3232641
2023-06-19,327.8769836425781,333.40107167794986,326.7037128043059,332.42335592522863,1315878
2023-06-20,329.7835388183594,331.44566767089077,325.57937266786615,327.534804335541,1024639
2023-06-21,331.9833984375,334.67211697239736,330.46795083465645,330.51682469119237,981946
2023-06-22,336.5298156738281,338.2896923115389,327.6325952553558,331.98341299095426,2659471
2023-06-23,336.04095458984375,342.20055260166566,332.2278388479804,341.22283673708944,5871422
2023-06-26,332.5700378417969,335.0143274479214,327.583681077799,335.0143274479214,1283233
2023-06-27,344.9870300292969,348.45790922485304,332.42337588496434,332.42337588496434,6798031
2023-06-28,343.91156005859375,348.06685253975655,339.8540451327271,346.2091983392114,2091878
2023-06-30,350.9021911621094,355.25303836383927,344.7914674728921,345.1825478214984,4356450
2023-07-03,346.3558349609375,355.9374382203325,345.6225480838148,352.90654299824104,1734803
2023-07-04,346.0625,349.3378238768937,342.4938136594761,346.355802788597,1341376
2023-07-05,345.7691955566406,350.02226536305307,343.32490599404946,346.062528206663,995480
2023-07-06,345.9158935546875,348.26243572084866,341.7117268757745,347.040290774941,1989456
2023-07-07,346.7958068847656,352.51542045612695,345.1825519415423,348.0668254922863,2437598
2023-07-10,338.2408142089844,347.72464016268725,335.9431759670365,347.52911489290625,1895779
2023-07-11,347.2357482910156,348.1645902036252,337.40971677875206,339.26737076645395,1520560
2023-07-12,341.51611328125,347.8223920574964,340.7339525847857,347.2357566163892,1044238
2023-07-13,353.8353576660156,358.2839826548289,340.3917648227968,341.9072422821805,7094935
2023-07-14,373.3017272949219,374.5798091305183,356.4898715931224,357.66963251752,7264128
2023-07-17,377.4801025390625,387.01663064519374,370.84384622670495,376.79188617941236,7245327
2023-07-18,385.6893615722656,387.06579424941964,373.744106576451,378.5123854851766,4160551
2023-07-19,386.869140625,391.1949903263676,383.42811904383734,386.81999517517136,3453054
2023-07-20,385.8368835449219,388.9337972674367,382.9365816441031,386.8691781179835,2027313
2023-07-21,379.102294921875,386.8691667284642,374.57980310938973,376.0545267436787,2981417
2023-07-24,376.8902282714844,380.08546297183693,373.4492062864893,379.0039929187438,2470379
2023-07-25,371.67950439453125,378.70904444594606,368.7792325582329,376.89021261448437,1695144
2023-07-26,372.9084167480469,377.48008376068674,371.63033500465286,372.9575922017636,1085762
2023-07-27,395.4225769042969,404.9099596438439,374.727270510436,376.74274415154616,12816622
2023-07-28,408.8917236328125,417.5434541156348,393.308803675208,398.5195121486118,10057454
2023-07-31,420.0504150390625,422.4591421178554,409.28492136499284,409.97313767416983,4248556
2023-08-01,424.8678894042969,427.5715495046408,412.9226335070796,420.787826526262,3174123
2023-08-02,418.52655029296875,424.52373531915134,411.3495444367819,424.2288026141456,2299029
2023-08-03,426.49005126953125,427.4240548801464,413.21753892707704,414.98722524140123,2555345
2023-08-04,431.4057922363281,435.33838844633414,426.14596880810745,427.6698378381536,2614983
2023-08-07,441.04071044921875,442.07300504545884,429.73449533294956,432.58562183986436,2203307
2023-08-08,443.9409484863281,447.08703749698407,439.51677769196544,442.36793398432854,2318513
2023-08-09,446.49713134765625,447.8735340055565,439.8608753152855,443.3510724157882,1549021
2023-08-10,437.7962646484375,445.07159169895164,437.1080783080701,445.07159169895164,1661347
2023-08-11,438.3370361328125,443.5477144078076,433.2738242234626,438.4845024984577,1486040
2023-08-14,440.5982360839844,441.33559786366413,431.2583202080407,437.35385625472446,1172380
2023-08-16,443.9409484863281,446.8412502306306,438.7302704409657,442.4170794362679,2240944
2023-08-17,462.17840576171875,464.0463830827843,444.383400748768,445.16990804079666,5942124
2023-08-18,445.9072265625,462.2275063150331,440.6965487514875,462.17836086530406,2847473
2023-08-21,454.8047790527344,455.98453996915975,444.3833926059986,447.33283990205615,1350315
2023-08-22,458.4423828125,461.04775175673745,454.608107578394,456.3777938425927,1984953
2023-08-23,457.8033752441406,463.84973624584893,456.32865158502494,460.5070352858527,966232
2023-08-24,466.89752197265625,471.07590583007175,458.8357170027001,461.5885226015474,2438414
2023-08-25,476.3848876953125,479.43265592703733,468.8146575750027,469.94527304714893,3630212
2023-08-28,476.8764343261719,480.21916509620564,470.28935369834846,477.2205424940669,1287199
2023-08-29,485.3807067871094,489.90316849644694,478.056234230473,478.64612967183444,2848502
2023-08-30,485.1349182128906,489.6082344581143,484.15176914771365,486.85542907695026,905479
2023-08-31,501.111083984375,503.27399389754925,485.2332027862522,485.67563186114114,4221568
2023-09-01,519.4468383789062,521.9539167600727,499.4397768332323,504.25723175417085,3248231
2023-09-04,510.05767822265625,526.5254236182842,507.89473846787035,521.0198133394215,2455401
2023-09-05,515.9566040039062,524.5100126501412,510.15606067399904,512.0240078453297,2255475
2023-09-06,509.9595031738281,521.8555845175804,507.10834648483035,515.6126110863822,2392443
2023-09-07,504.2079772949219,515.5141916166967,501.1602391760628,512.12237532549,3104273
2023-09-08,509.7627868652344,513.0563122087599,505.3386161016981,506.22347425706795,1310209
2023-09-11,499.8329772949219,511.9748742155335,497.1784928285906,511.9257287637476,1986284
2023-09-12,488.7725524902344,510.8934364934527,486.1180680122447,503.8147512121566,3948677
2023-09-13,485.7739562988281,493.8357605847181,480.7598900947206,489.60823163020626,1815178
2023-09-14,497.2276611328125,505.3386412699271,487.93689006533117,489.06753554165334,3601415
2023-09-15,495.50714111328125,504.1588410996418,493.688309297021,500.177099288456,1947037
