Price,Close,High,Low,Open,Volume
Ticker,CROMPTON.NS,CROMPTON.NS,CROMPTON.NS,CROMPTON.NS,CROMPTON.NS
Date,,,,,
2023-04-24,286.12481689453125,288.312687202136,280.728082005729,287.82649380044603,1729301
2023-04-25,252.2857666015625,272.2683034297545,245.38181440104427,272.2683034297545,30828992
2023-04-26,245.5762939453125,255.73773322972704,244.06909140935926,253.59847035937,13326199
2023-04-27,252.62608337402344,253.5012552498851,245.041478065754,246.88900708444623,10391436
2023-04-28,247.86138916015625,253.79295456975302,246.25695687658987,253.79295456975302,8422456
2023-05-02,251.50782775878906,252.82055581047504,246.69451629834774,250.00064016141286,5577757
2023-05-03,250.3409881591797,255.008432829089,249.75755015671865,251.55647163310292,6896040
2023-05-04,249.80616760253906,253.11227684867248,248.54207660912914,251.31338497533315,3582286
2023-05-05,248.78515625,251.8481685815547,247.95862157643415,249.90339507899444,3546449
2023-05-08,250.2923583984375,252.33437662984207,247.47244259073142,250.43821048463275,2597672
2023-05-09,248.8824005126953,254.32775773442836,248.34758480086518,251.60508654228443,3715109
2023-05-10,249.75755310058594,250.87579197479798,246.937622505379,249.90340518419796,1974282
2023-05-11,249.75755310058594,251.653689537322,249.12550762167393,251.3133779005239,1910799
2023-05-12,247.95863342285156,250.38960041719324,247.03486893249072,250.1465037177591,2304171
2023-05-15,247.3751983642578,249.90341000355198,246.40281155490547,247.47244298017114,1981128
2023-05-16,247.52105712890625,250.43820262335802,247.08348604661072,248.6879182941759,2159363
2023-05-17,246.9376220703125,250.29235352448296,246.30557659251403,248.25035017028762,1845664
2023-05-18,246.8403778076172,248.9310033460537,246.3055621376271,247.6668976271982,1278307
2023-05-19,247.47242736816406,248.54205872595114,245.13870510792137,247.52104967305334,1778400
2023-05-22,252.480224609375,263.51682063362085,249.1255079818883,249.1255079818883,18219881
2023-05-23,258.75213623046875,259.33557425179515,253.0636674535943,253.50125338831174,9950214
2023-05-24,268.5732421875,270.6152306983733,258.6548850994451,258.7034925687936,13658556
2023-05-25,267.4549865722656,271.0042222529679,266.19089555920124,270.76112554469466,5528092
2023-05-26,264.3433532714844,267.5522177900165,262.3013350892868,267.4063657073359,2080274
2023-05-29,267.84393310546875,268.3301264640375,263.6626524168451,265.94776713709564,2667398
2023-05-30,267.0660400390625,269.2053029599671,265.801949015277,268.0870640274044,2002695
2023-05-31,267.2118835449219,269.0108050785809,266.4339859667998,267.11466860382444,2521649
2023-06-01,266.3367004394531,269.5942016878817,265.75326250803687,267.5035763022856,1127524
2023-06-02,265.218505859375,267.9898142387133,264.48921574243815,266.8715753277216,1389463
