Price,Close,High,Low,Open,Volume
Ticker,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
Date,,,,,
2023-04-24,1188.1868896484375,1199.456844948642,1183.0461468860842,1194.8598752064809,348301
2023-04-25,1202.0272216796875,1204.1032376090202,1179.586144762709,1186.4074433969897,394974
2023-04-26,1205.9815673828125,1215.620324696249,1198.2211561428892,1204.1032213092994,692419
2023-04-27,1207.2666015625,1214.8788203854351,1200.6925716540009,1205.8826714833704,351744
2023-04-28,1216.1639404296875,1219.7723197584644,1198.616459695305,1207.0689564327445,584411
2023-05-02,1211.616455078125,1228.817953380016,1206.1298503798594,1218.9320486866934,680387
2023-05-03,1227.1373291015625,1235.738017431872,1198.023269004343,1207.5631906344254,2137153
2023-05-04,1241.7684326171875,1245.623959484434,1199.8521736545833,1230.5974330061156,1145568
2023-05-05,1271.129638671875,1280.125787559113,1241.768430136164,1260.1561882229728,1216747
2023-05-08,1243.548095703125,1282.2019626545784,1241.274289132868,1270.3388758759702,792674
2023-05-09,1225.4073486328125,1253.4832210555412,1222.8863946977042,1253.4832210555412,658368
2023-05-10,1241.3729248046875,1243.5478961048696,1213.4947236206308,1228.8673527081849,482371
2023-05-11,1267.4224853515625,1271.32736951412,1241.3730294108466,1247.650675561296,600835
2023-05-12,1291.0496826171875,1307.8063635757705,1263.4186271106307,1269.745630286444,1404037
2023-05-15,1283.487060546875,1301.9736541379511,1279.779846269717,1293.0268620780569,478721
2023-05-16,1276.4185791015625,1288.2816644592613,1273.255017266316,1284.821597896599,378732
2023-05-17,1254.718994140625,1277.2589054489797,1248.7874512360631,1277.2589054489797,436672
2023-05-18,1249.973876953125,1262.1829457330664,1246.6621228484119,1259.7114694343918,261779
2023-05-19,1245.1790771484375,1252.0497321053197,1237.6163365102802,1250.5668465165647,314141
2023-05-22,1249.3311767578125,1262.8254604879755,1242.6581912439726,1245.179145153552,444646
2023-05-23,1235.4908447265625,1250.566848232928,1232.3274037372257,1250.0725530359978,520570
2023-05-24,1258.8216552734375,1261.3919663689824,1228.0765156836412,1234.749501379648,561655
