Price,Close,High,Low,Open,Volume
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS
Date,,,,,
2023-04-24,4084.391357421875,4112.557844339366,4049.976033077762,4099.572962295858,280999
2023-04-25,4087.271484375,4120.027350738083,4076.581051937804,4110.312762902848,299754
2023-04-26,4061.642578125,4117.195159516436,4054.710602204319,4081.0226494477047,496132
2023-04-27,4217.85400390625,4248.608122195285,4064.7670279996746,4085.9042869719215,888098
2023-04-28,4314.80322265625,4338.234933110548,4182.999851350828,4232.352700807444,1138300
2023-05-02,4440.55322265625,4505.722667522365,4319.293930060316,4326.03092820849,757405
2023-05-03,4391.49267578125,4436.4034501445085,4352.879363728396,4430.7896033491015,404872
2023-05-04,4394.470703125,4415.852520515318,4360.299458352459,4374.700197220887,331451
2023-05-05,4381.58349609375,4442.261767530541,4368.109976569399,4391.493061615906,217630
2023-05-08,4410.82421875,4427.617135951176,4383.682677049786,4412.972316317379,172189
2023-05-09,4513.19140625,4556.100916590987,4412.972123609685,4426.054733234035,535062
2023-05-10,4485.9033203125,4528.177838640095,4463.203851845838,4528.129213266615,246174
2023-05-11,4547.89990234375,4574.99281741791,4519.342505373689,4554.538696250753,272084
2023-05-12,4576.2138671875,4610.14103591475,4504.795575239339,4530.1313063148,232055
2023-05-15,4595.6904296875,4605.307289245717,4546.728014843609,4571.136045844488,162309
2023-05-16,4623.90625,4676.578974228382,4603.354877554661,4608.236483999575,254021
2023-05-17,4627.6650390625,4644.3602279312045,4570.159812265287,4631.668051567297,185117
2023-05-18,4601.20654296875,4664.5210706410935,4589.686143040055,4637.330428799953,246516
2023-05-19,4689.2705078125,4728.567434304162,4618.145416321617,4639.136321155672,527489
2023-05-22,4869.353515625,4896.641408007608,4696.105122446986,4702.9393710659315,569846
2023-05-23,4742.82275390625,4896.25155834171,4724.760808975178,4869.890881955823,447041
2023-05-24,4712.06787109375,4763.275631481926,4668.57247604402,4714.6550269036,501671
2023-05-25,4794.27392578125,4807.649717042369,4678.091701822669,4735.157867219473,289085
2023-05-26,4882.68017578125,4900.15623037236,4808.382035183079,4808.382035183079,443908
2023-05-29,4870.76904296875,4935.011267965066,4858.370048987427,4923.588118525238,303516
2023-05-30,4873.06298828125,4901.2785744523035,4852.657971387682,4880.629477268814,306273
2023-05-31,4880.0439453125,4908.699068784024,4834.2059495521735,4870.915246459479,512681
2023-06-01,4851.6328125,4920.658912938682,4840.161038248605,4899.912087164884,320472
