Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2023-04-24,2029.3348388671875,2031.2671083550329,2001.0615383811987,2010.8603406086304,578680
2023-04-25,2026.970947265625,2052.8069383995658,1991.9345855715162,2031.2670078551466,1684640
2023-04-26,2062.38525390625,2068.5400680378484,2008.0700129883219,2020.477823252684,1248940
2023-04-27,2074.25830078125,2079.4226733699406,2059.815011886031,2066.308433341792,1022320
2023-04-28,2134.49267578125,2143.143944652881,2072.5611617654135,2077.6568063060463,1665160
2023-05-02,2132.968017578125,2167.607105916942,2125.773432233836,2138.2794242795076,891700
2023-05-03,2145.70458984375,2152.5852321691555,2116.5435785141317,2132.8846550339294,570130
2023-05-04,2127.857421875,2157.4010991577043,2122.374317290961,2146.0131863964702,635340
2023-05-05,2159.84326171875,2165.615643486725,2133.364780206677,2138.274118461199,550760
2023-05-08,2156.25341796875,2187.3222698523455,2134.3949944088677,2162.8007197418933,756560
2023-05-09,2155.086181640625,2172.1140508659532,2142.859650932852,2157.8963416158626,432870
2023-05-10,2162.80078125,2170.6378593094496,2154.904793996227,2155.0863109445895,604410
2023-05-11,2159.83837890625,2180.9465472414186,2153.0214362429724,2167.606728925455,689370
2023-05-12,2137.705322265625,2164.7034521217843,2132.393916399048,2159.7598694928565,669610
2023-05-15,2136.96484375,2159.8484321788137,2133.4975825856973,2140.24100923027,725700
2023-05-16,2136.356689453125,2156.8173364856552,2130.432244711841,2145.6356055741953,772570
2023-05-17,2131.658447265625,2147.2344216536862,2118.662025120787,2136.356814793664,667880
2023-05-18,2126.46923828125,2152.9917812729873,2123.585561887136,2143.1831626794883,511750
2023-05-19,2127.504150390625,2138.2790241420666,2109.4515971596843,2138.2790241420666,732200
2023-05-22,2108.34326171875,2128.3723874055086,2101.2123757228114,2128.3723874055086,510950
2023-05-23,2099.407470703125,2119.642536474462,2095.3269319961005,2103.9487462923275,554590
2023-05-24,2097.1416015625,2108.65691041619,2086.7836426722074,2099.407449970045,443640
2023-05-25,2106.391357421875,2121.8006613509583,2090.3002873417677,2108.8533306563954,815020
2023-05-26,2116.871826171875,2121.5062552907953,2096.1020261010185,2107.377149370549,631590
2023-05-29,2131.359130859375,2143.1833545814825,2113.9634388601635,2130.917790876795,534370
2023-05-30,2116.15576171875,2131.2757868853864,2109.9370107914083,2126.50869247626,469810
2023-05-31,2125.832275390625,2144.0026498345824,2110.324788263371,2116.7003918532905,4247940
2023-06-01,2145.56689453125,2150.535142550002,2115.9940010609744,2136.906045922091,598660
2023-06-02,2162.452392578125,2167.2144581431294,2140.2407547718076,2157.8962697057636,582480
2023-06-05,2141.62890625,2170.6182164779734,2137.29836207525,2157.803311536171,815090
2023-06-06,2129.0,2151.1821820111554,2120.382975057061,2145.552044354601,785230
2023-06-07,2193.967529296875,2199.5586343352816,2133.365056143947,2133.365056143947,1568120
2023-06-08,2172.50146484375,2214.546107508265,2166.4742877899375,2203.016188926399,729290
2023-06-09,2165.1005859375,2185.3603172557882,2161.907995391829,2167.7931668027513,709150
2023-06-12,2186.27783203125,2192.128520956383,2160.7557820859806,2162.800841165083,623520
2023-06-13,2206.2138671875,2224.399088593783,2186.572199684391,2192.1285822533923,833470
2023-06-14,2229.376708984375,2231.559222712609,2206.939490827627,2209.391645817436,723770
2023-06-15,2252.66748046875,2255.9826792003705,2219.935999434886,2229.3767965163224,737570
2023-06-16,2252.897705078125,2273.1720454053616,2243.9473395854625,2252.667336616975,735410
2023-06-19,2235.860107421875,2270.695312651451,2232.5643060513103,2258.4345388250395,433310
2023-06-20,2251.62255859375,2255.97776778691,2228.5184216736807,2235.860278970272,688770
2023-06-21,2245.349853515625,2262.8190623039845,2232.9322274468054,2251.6766046628277,646420
2023-06-22,2210.16650390625,2245.26656324982,2206.223419634367,2236.3652887769576,499030
2023-06-23,2210.55419921875,2218.7052205205596,2202.393359717476,2210.16673954232,435150
2023-06-26,2219.769287109375,2226.5567756281407,2207.429966322084,2208.906048710938,350150
2023-06-27,2220.40185546875,2243.231321998685,2207.439678346225,2219.8230606987536,441330
2023-06-28,2230.882080078125,2236.3651844362535,2214.7862221302894,2223.613979437275,556240
2023-06-30,2245.61474609375,2250.710391063508,2219.200200373127,2231.4609749608235,368620
2023-07-03,2219.9404296875,2251.078004878379,2215.080421931487,2251.078004878379,552690
2023-07-04,2219.107421875,2240.779541958933,2209.441044715543,2231.2652271662264,301490
2023-07-05,2246.164306640625,2250.489822130973,2214.786538816024,2215.375151841284,388880
2023-07-06,2265.737548828125,2294.476855975169,2246.66461842608,2249.607204697758,903670
2023-07-07,2246.781982421875,2280.1949853067854,2241.2694236430416,2271.1905007193964,564640
2023-07-10,2214.810791015625,2260.1414139248977,2211.843779294119,2243.13318087244,363880
2023-07-11,2241.495361328125,2252.0446571897955,2211.873375338685,2217.7290930356735,685260
2023-07-12,2261.87255859375,2265.7912172237143,2238.0327747640745,2249.999243255759,480900
2023-07-13,2238.40087890625,2267.9052881623934,2234.0949995572246,2261.872842431828,432160
2023-07-14,2269.5234375,2275.599944921283,2236.365463112296,2238.4007039624826,454570
2023-07-17,2262.922119140625,2294.760860900878,2251.5686895428985,2275.599808207155,417950
2023-07-18,2253.7412109375,2274.6187704943377,2238.3759707942963,2274.6187704943377,325840
2023-07-19,2250.190673828125,2258.4348480138533,2236.5124856236744,2251.0783827108767,278810
2023-07-20,2256.76220703125,2264.2707340393094,2231.55913149337,2250.195508654117,377920
2023-07-21,2254.270751953125,2278.7336308300764,2247.4293835753106,2257.4489745409073,368430
2023-07-24,2238.3369140625,2260.7497066685983,2227.3168240680557,2254.035495510941,420810
2023-07-25,2233.70703125,2269.7144332306293,2224.128780708506,2269.7144332306293,625760
2023-07-26,2236.355224609375,2246.1736614155143,2226.752548676442,2235.472544721874,344620
2023-07-27,2189.803955078125,2246.1740676824165,2165.3559208801107,2242.1720739363495,1793740
2023-07-28,2205.066162109375,2219.8722454130584,2176.2679481318296,2189.8038917624995,672110
2023-07-31,2212.167724609375,2222.0448332176757,2200.0441640819918,2221.6525841777593,486090
2023-08-01,2216.13037109375,2225.5759575465886,2199.583113617552,2217.5623913500117,650190
2023-08-02,2244.437744140625,2249.915819873689,2207.979181708051,2225.575787802518,1046610
2023-08-03,2204.56591796875,2244.9919925411214,2197.322242430059,2244.9919925411214,449710
2023-08-04,2202.476318359375,2226.4437364986084,2198.3076552599628,2206.542010116143,410100
2023-08-07,2202.947265625,2212.000602485136,2172.6092718284126,2202.4764710350664,412460
2023-08-08,2180.382568359375,2206.836386053884,2167.704879934885,2203.9967715899033,580320
2023-08-09,2179.318603515625,2192.839700543049,2173.845316696668,2185.360627479972,372850
2023-08-10,2156.89111328125,2181.8834578958854,2147.597350039447,2173.8844995458226,705790
2023-08-11,2142.43798828125,2158.8772448493833,2133.37483305198,2156.8910951024664,383630
2023-08-14,2148.03857421875,2161.8197324759603,2129.3777714532566,2142.6194077456457,407880
2023-08-16,2152.7861328125,2170.6475913974186,2136.8420965862642,2170.6475913974186,289300
2023-08-17,2125.278076171875,2160.6724452426283,2118.8974439569806,2148.0879084005524,699920
2023-08-18,2141.2216796875,2146.125989535616,2103.9489248418176,2125.2778833160364,656670
2023-08-21,2161.265869140625,2175.169636853743,2131.937949614725,2141.221895300639,370960
2023-08-22,2160.441650390625,2166.9645261971814,2148.6811249037937,2161.2656606571677,405220
2023-08-23,2175.86083984375,2184.360047426898,2152.9920996832784,2167.705029749451,613780
2023-08-24,2181.917724609375,2186.341421856375,2171.9522527892104,2185.654866342536,460200
2023-08-25,2176.3857421875,2185.4045958508214,2168.8084874582023,2176.53277570004,419640
2023-08-28,2161.275634765625,2178.9409697663828,2157.896497971095,2176.6799103365797,415070
2023-08-29,2164.07568359375,2175.532083670856,2152.9918960983205,2164.8063011944537,524280
2023-08-30,2177.366455078125,2185.3603840349406,2158.8917194394767,2164.07572800868,648320
2023-08-31,2156.56201171875,2186.2429011427403,2125.532437239002,2182.4176356809726,2330650
2023-09-01,2149.613037109375,2168.6565118962444,2144.164415538206,2162.800794264293,358490
2023-09-04,2132.21728515625,2155.9296695118364,2121.849507809272,2155.4636643214626,740910
2023-09-05,2153.4287109375,2157.7592551237876,2133.8212884961667,2133.8212884961667,623130
2023-09-06,2158.29833984375,2167.7048920772154,2135.7876061658285,2153.4285135608206,562920
2023-09-07,2147.724853515625,2166.243653525183,2140.471598973715,2155.7681138924504,411590
2023-09-08,2146.44482421875,2155.8710135627152,2141.221781874893,2152.5998770528313,304770
2023-09-11,2170.3583984375,2177.5089209633675,2145.4788425826773,2149.0687114100474,469770
2023-09-12,2189.06298828125,2196.6402423055674,2159.5734324984737,2171.0691053205887,493790
2023-09-13,2175.5322265625,2213.7221450738025,2172.6140663963406,2184.9239320898755,508250
2023-09-14,2204.751953125,2207.920117877245,2173.2956452119115,2180.4559849138677,810560
2023-09-15,2218.935546875,2226.6550461903603,2189.1811347602174,2206.939623103327,1161410
2023-09-18,2238.268310546875,2240.2889438617985,2202.2951466216387,2218.7099785531473,575320
2023-09-20,2224.61962890625,2238.9697656969347,2212.437398471278,2212.437398471278,574500
2023-09-21,2210.225341796875,2223.6092220863384,2192.226429463423,2222.628360149218,461830
2023-09-22,2210.126953125,2220.666428598463,2195.1688099828025,2208.9008758182626,383010
2023-09-25,2220.548828125,2227.4100723515144,2202.133240958052,2213.8054022762412,344270
2023-09-26,2256.52685546875,2262.152204265455,2216.3606054572488,2226.5566848521707,660010
2023-09-27,2243.525634765625,2256.526845249966,2230.6223667974573,2256.4729648926577,416530
2023-09-28,2210.711181640625,2246.953989499435,2201.819723892552,2246.1742807348855,519810
2023-09-29,2207.616455078125,2227.047390687274,2200.0736830264505,2211.937181350535,452290
2023-10-03,2188.818115234375,2216.2283725845036,2182.9231246680947,2207.6163749513585,500130
2023-10-04,2254.629150390625,2291.1758390264295,2211.9420165197257,2236.860605174025,2134880
2023-10-05,2248.00830078125,2266.4974057500935,2233.913198934754,2256.4730248735023,680000
2023-10-06,2247.375732421875,2262.61333806596,2237.8269350580445,2254.997049660778,388120
2023-10-09,2244.3935546875,2254.0992023911404,2236.365142525836,2237.547157750735,237550
2023-10-10,2252.848876953125,2257.6502160227706,2238.8519558249072,2252.0593500248146,396630
2023-10-11,2275.801025390625,2282.8483369639953,2249.1165976749767,2252.8487105864237,673380
2023-10-12,2263.35400390625,2285.4087945709825,2252.2606350581223,2277.856203958978,542220
2023-10-13,2310.356689453125,2314.819659344417,2251.6079421530976,2263.343802454242,907910
2023-10-16,2266.629638671875,2309.9298070143223,2253.535036335262,2309.9298070143223,866080
2023-10-17,2287.89013671875,2291.509460132552,2268.7338725605487,2268.7338725605487,381660
2023-10-18,2281.774169921875,2299.841809852176,2275.599720585729,2287.8899495369787,356710
