Price,Close,High,Low,Open,Volume
Ticker,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS
Date,,,,,
2023-04-24,2196.169677734375,2209.3450108644447,2143.147772799352,2145.5950342004635,1438434
2023-04-25,2210.95166015625,2223.706482953611,2157.633082711745,2172.785680876194,1529942
2023-04-26,2210.95166015625,2247.189377115527,2151.181321689279,2179.237200503778,1167572
2023-04-27,2265.82763671875,2289.9036398146586,2197.504672720962,2209.7651196688466,907450
2023-04-28,2341.986083984375,2358.077949436807,2269.2137352627205,2273.144126689568,1169504
2023-05-02,2348.734130859375,2384.1069273027997,2338.6242725467055,2351.7498768993496,546108
2023-05-03,2312.669677734375,2347.992749600286,2309.2336629666984,2333.458122287051,559118
2023-05-04,2308.36865234375,2332.4695190357793,2284.0205972753924,2316.476382808345,497210
2023-05-05,2293.7841796875,2331.777075470968,2287.851659582699,2308.244697442952,421276
2023-05-08,2310.84033203125,2321.5684031744454,2291.930422912098,2310.222361145003,380326
2023-05-09,2321.148193359375,2356.199454634231,2314.3256497658454,2323.5705910157126,548846
2023-05-10,2309.62890625,2336.4242192025245,2302.559416194617,2336.4242192025245,282798
2023-05-11,2307.35546875,2336.276511189414,2298.3082285858472,2331.975336525072,460416
2023-05-12,2299.791015625,2332.6175815559645,2287.3574893952414,2313.188673016769,419216
2023-05-15,2319.294189453125,2324.2874424228303,2282.5372333765445,2303.795431564803,311284
2023-05-16,2332.469482421875,2379.9296499319425,2311.2112823913235,2330.9863521871853,660646
2023-05-17,2375.15869140625,2379.6575675500662,2315.660408673007,2336.300635415556,713662
2023-05-18,2347.424072265625,2399.8033781020504,2341.0217976977096,2396.219147169828,360724
2023-05-19,2416.6123046875,2420.468346426553,2355.9027005080134,2365.5925321999707,1017838
2023-05-22,2492.20263671875,2499.6923960640725,2417.502262893115,2422.4460303018946,867542
2023-05-23,2447.189453125,2519.343833937908,2442.221063511238,2491.6587368616674,678044
2023-05-24,2455.421142578125,2501.521775300331,2420.147312586229,2439.749302778406,805160
2023-05-25,2484.984619140625,2493.1418351389975,2455.1489353766906,2466.9398685987703,440560
2023-05-26,2515.8583984375,2550.983766336569,2487.4068745787413,2504.51235663974,1172258
2023-05-29,2491.287841796875,2537.956955052974,2487.332828107462,2537.956955052974,493606
2023-05-30,2507.65185546875,2522.062888873722,2484.8115539777427,2493.5621186594,431988
2023-05-31,2540.30517578125,2550.489384035244,2496.602323973247,2505.7236706059102,660568
2023-06-01,2557.657958984375,2571.253318774086,2518.478603954026,2549.995119830174,566908
2023-06-02,2583.859619140625,2609.789771572273,2558.399221094946,2570.7586376219747,766460
2023-06-05,2575.4306640625,2608.3313351993083,2566.556506195453,2604.3763218024937,212734
2023-06-06,2462.514892578125,2520.3323425012177,2424.9176422064484,2520.3323425012177,1519336
2023-06-07,2481.053955078125,2491.164054596278,2457.0520641681887,2471.8833643543144,458248
2023-06-08,2435.373779296875,2491.6586159540993,2429.8615272647617,2491.6586159540993,432000
2023-06-09,2415.8955078125,2445.187329337622,2382.8958607778686,2442.196446651241,748724
2023-06-12,2463.825439453125,2472.872437177525,2392.2890290887735,2432.3581670436597,552992
2023-06-13,2491.757568359375,2513.905548214405,2464.4678776497167,2477.79142642485,720190
2023-06-14,2454.209716796875,2465.6298677012264,2403.659695435646,2436.288560079569,1034786
2023-06-15,2464.096923828125,2476.827123113589,2425.4119493004528,2447.1645228367797,744116
2023-06-16,2451.490478515625,2474.3554010528264,2437.7715249933044,2474.3554010528264,500384
2023-06-19,2443.753662109375,2461.996115165661,2427.8594985203654,2442.245668246086,425506
2023-06-20,2456.58251953125,2459.524157543953,2425.2885700243714,2447.164739666848,392924
2023-06-21,2440.935302734375,2471.8833303088127,2436.2882103523657,2471.833844363235,391978
2023-06-22,2407.56494140625,2440.713042578697,2400.717776121355,2430.850131272149,426290
2023-06-23,2375.406005859375,2402.151834403104,2363.7881530641494,2402.151834403104,329208
2023-06-26,2425.486328125,2436.164913694995,2358.671361826152,2370.412809079007,445436
2023-06-27,2418.441650390625,2438.2167210067014,2400.322790217626,2400.322790217626,361428
2023-06-28,2410.53125,2436.4614039001267,2402.670708922622,2427.117732755512,454488
2023-06-30,2477.346435546875,2490.991281679814,2411.5943299462638,2416.5134750059196,960168
2023-07-03,2403.5361328125,2499.0744384979043,2397.7272060761297,2499.0744384979043,978832
2023-07-04,2406.329345703125,2416.5135550364726,2383.8846895224774,2410.0371713297154,449940
2023-07-05,2400.841552734375,2407.194341822899,2381.931643320741,2390.3609111773417,824362
2023-07-06,2417.156005859375,2421.4571798907973,2374.491391387403,2402.5718925872684,463940
2023-07-07,2387.616943359375,2432.3087910618387,2376.5924392836946,2417.502112038539,424250
2023-07-10,2347.399658203125,2402.670879405992,2335.9546439229684,2387.6170115974387,455418
2023-07-11,2337.342529296875,2359.785205813362,2318.566155181723,2338.382959926866,487798
2023-07-12,2325.92333984375,2348.2915112376395,2301.9450529621977,2338.383108236637,800280
2023-07-13,2358.249267578125,2416.163828916413,2323.544944413046,2327.954376828742,1227046
2023-07-14,2439.44873046875,2446.8800324502754,2365.1357106534956,2387.330435809907,1424638
2023-07-17,2458.398193359375,2521.1926859803234,2433.0079152779263,2451.313783261306,1122438
2023-07-18,2468.87646484375,2493.0035203473185,2437.962299148844,2476.8774510353774,577714
2023-07-19,2545.8154296875,2550.918160086157,2440.0183194863534,2480.5438298445497,2084866
2023-07-20,2498.775146484375,2555.2034478798764,2481.757417551984,2551.3143516873783,642390
2023-07-21,2353.04736328125,2452.3295032754095,2336.4011994842085,2422.6042971751017,2555932
2023-07-24,2365.0859375,2387.2809028456813,2329.019451431739,2363.129173272022,583440
2023-07-25,2320.02783203125,2382.2277335960052,2308.2120133589633,2382.2277335960052,1002122
2023-07-26,2310.713623046875,2337.1196596567597,2300.1116812326277,2320.0276661179037,870564
2023-07-27,2338.55615234375,2350.272788500836,2302.3904875965827,2315.1226381252486,930732
2023-07-28,2326.888916015625,2359.6611475639647,2319.8045056911046,2349.7278298983306,509642
2023-07-31,2350.2978515625,2357.209059374747,2324.0654999220415,2345.814395993995,512634
2023-08-01,2382.74755859375,2395.6038064832355,2335.3110857427996,2350.297543223126,798762
2023-08-02,2336.896728515625,2378.190044295644,2313.835018469566,2378.0165988711046,733756
2023-08-03,2324.11474609375,2336.673451436366,2295.9500665279998,2332.4377065687104,458764
2023-08-04,2370.956787109375,2382.970724754969,2333.5772431162914,2340.8600154817523,651810
2023-08-07,2418.6904296875,2429.9116461591743,2364.144630301561,2378.016392591679,724704
2023-08-08,2406.230712890625,2452.3047814521683,2399.3195058446568,2412.695848330266,605606
