Price,Close,High,Low,Open,Volume
Ticker,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS
Date,,,,,
2023-04-24,1585.388427734375,1591.7928015515868,1567.495496725771,1569.304328310993,464104
2023-04-25,1605.7750244140625,1612.8148474823547,1576.1977894117338,1585.3398199959095,363645
2023-04-26,1586.072998046875,1623.0811806132645,1578.299736442121,1609.7836719202917,422419
2023-04-27,1593.01513671875,1609.5881174052258,1573.655445148412,1585.6330025673499,173886
2023-04-28,1615.5526123046875,1620.1480357562648,1593.0641362501347,1599.1751351780022,225522
2023-05-02,1619.0235595703125,1627.9700857142457,1613.3036885456488,1617.1657920578677,232180
2023-05-03,1618.339111328125,1644.591937348721,1609.3925855386415,1617.3124158248213,418996
2023-05-04,1622.6412353515625,1631.7343293824608,1612.374758011381,1622.3478596853822,103050
2023-05-05,1613.0592041015625,1629.387744756716,1609.2948528032064,1626.405649027954,70049
2023-05-08,1630.365478515625,1635.9875971854397,1609.1970750084147,1612.3258585259614,100618
2023-05-09,1614.037109375,1640.0944338457234,1609.001622161016,1630.365651502007,333606
2023-05-10,1626.8455810546875,1638.9208904292843,1614.9657758933097,1614.9657758933097,199186
2023-05-11,1618.6812744140625,1638.480909452954,1610.9081321039325,1627.4321764791996,188028
2023-05-12,1613.596923828125,1629.6320878528416,1610.7124610226845,1618.5834745604668,137419
2023-05-15,1628.99658203125,1636.3297797186951,1603.9170220691012,1615.2590106212635,318368
2023-05-16,1586.7574462890625,1637.6009552075257,1562.900083617772,1635.3032435794144,544764
2023-05-17,1619.2679443359375,1625.3789429479139,1585.9263597800834,1586.7574317202238,739275
2023-05-18,1613.3526611328125,1628.507938553227,1604.9927668135658,1624.0101478344227,247687
2023-05-19,1624.93896484375,1631.636595311469,1600.4460351764494,1613.352535588581,268347
2023-05-22,1632.712158203125,1638.4809648237049,1619.8545931191875,1624.1567600576932,184139
2023-05-23,1653.4896240234375,1662.191710378272,1634.8144351485125,1634.8144351485125,402746
2023-05-24,1652.462890625,1667.080350945367,1645.5696367396201,1656.1783060109126,476779
2023-05-25,1663.511474609375,1670.013600614,1645.66735973162,1649.1872708501178,405240
2023-05-26,1662.43603515625,1669.0359135490185,1650.8006701186516,1657.7916762872649,160775
