Direction,Sum of Performance,Sector
DOWN,-3.5821896382810374,NIFTY_AUTO
DOWN,-5.375445585997545,NIFTY_BANK
DOWN,-2.8828868847158464,NIFTY_CONSUMER
DOWN,-2.9520799704669165,NIFTY_CONSUMPTION
DOWN,-3.68089180386474,NIFTY_ENERGY
DOWN,-3.69500466126711,NIFTY_FIN_SERVICE
DOWN,-3.6333997841716354,NIFTY_HEALTHCARE
DOWN,-1.630423260905474,NIFTY_IT
DOWN,-5.868566821640671,NIFTY_MEDIA
DOWN,-2.930422607705642,NIFTY_METAL
DOWN,-2.7555361731996912,NIFTY_OIL_AND_GAS
DOWN,-1.8760180117929566,NIFTY_PHARMA
DOWN,-4.25858291774973,NIFTY_PSU_BANK
DOWN,-4.9388822552362805,NIFTY_PVT_BANK
DOWN,-5.429375744276179,NIFTY_REALTY
DOWN,-3.668033412373901,UNKNOWN
