Sector,Performance,Direction
NIFTY_CONSUMER,-1.6090028704161978,DOWN
NIFTY_ENERGY,-1.7019865844751052,DOWN
NIFTY_PHARMA,-2.5657634320288802,DOWN
NIFTY_HEALTHCARE,-2.828966500368882,DOWN
NIFTY_IT,-2.9735056682166348,DOWN
NIFTY_FIN_SERVICE,-3.17002888456355,DOWN
NIFTY_AUTO,-3.2779738598633656,DOWN
UNKNOWN,-3.383602775504122,DOWN
NIFTY_MEDIA,-3.3988600631688803,DOWN
NIFTY_METAL,-3.8685318731114844,DOWN
NIFTY_OIL_AND_GAS,-3.9857281883459854,DOWN
NIFTY_CONSUMPTION,-4.548814137970733,DOWN
NIFTY_BANK,-4.726467329396363,DOWN
NIFTY_PSU_BANK,-4.867120705795529,DOWN
NIFTY_PVT_BANK,-5.693640081668135,DOWN
NIFTY_REALTY,-5.850167894213401,DOWN
