ticker,sector,signal_type,signal_strength,current_price,stop_loss,take_profits,trailing_stop,position_size,position_value,risk_amount,risk_percentage,risk_reward_ratio,volume_ratio,momentum_5d,atr,volatility_pct,strategy_scores,ema_cloud,rsi_vwap,ma_crossover,supertrend,bollinger_bands,rsi,vwap,ema_9,ema_20,supertrend_level,market_session,timestamp
LAURUSLABS,Pharmaceuticals,STRONG_BUY,29.0,889.9000244140625,830.8196607317243,"[978.5205699375698, 1008.0607517787389, 1067.141115461077]",845.4050231933593,33,29366.700805664062,1949.6520015171607,1.9496520015171608,2.1666666666666665,0.48006035229379296,3.0991136237479537,23.632145472935267,2.655595552825768,"{'buy_score': 290.0, 'sell_score': 65.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(867.1562263453307), 'slow_ema': np.float64(851.3468090052306), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(54.519044865495744), 'vwap': np.float64(651.3707571484871), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'BUY', 'strength': 60, 'short_ma': np.float64(856.0900085449218), 'long_ma': np.float64(821.7137481689454), 'crossover': 'NONE', 'ma_distance': np.float64(4.1834836587045485)}","{'signal': 'STRONG_BUY', 'strength': 80, 'supertrend': np.float64(792.1964067731585), 'direction': 'BULLISH', 'distance_pct': np.float64(10.979167879586816), 'atr': np.float64(24.399989536830358)}","{'signal': 'SELL', 'strength': 65, 'bb_position': np.float64(0.8123613440946336), 'upper_band': np.float64(908.0324760073917), 'lower_band': np.float64(811.3975288754208), 'sma': np.float64(859.7150024414062)}",54.519044865495744,651.3707571484871,867.1562263453307,851.3468090052306,792.1964067731585,True,2025-08-22T10:06:29.356106
ABB,FMCG,STRONG_SELL,22.0,5141.5,5435.137584597642,"[4701.043623103537, 4554.2248308047165, 4260.587246207075]",5376.410067678114,6,30849.0,1761.8255075858506,1.7618255075858507,2.166666666666667,0.9518344794774495,1.0713583644584235,117.45503383905672,2.2844507213664635,"{'buy_score': 0.0, 'sell_score': 220.0}","{'signal': 'NONE', 'strength': 0, 'fast_ema': np.float64(5112.634398792583), 'slow_ema': np.float64(5235.761484423583), 'trend': 'BEARISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(27.048012251946304), 'vwap': np.float64(5588.327207168432), 'vwap_trend': 'FALLING', 'price_vs_vwap': 'BELOW'}","{'signal': 'SELL', 'strength': 60, 'short_ma': np.float64(5073.472998046875), 'long_ma': np.float64(5524.416345214844), 'crossover': 'NONE', 'ma_distance': np.float64(8.162732838892003)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(5653.7234455823345), 'direction': 'BEARISH', 'distance_pct': np.float64(9.962529331563445), 'atr': np.float64(76.35714285714286)}","{'signal': 'NONE', 'strength': 0, 'bb_position': np.float64(0.3962549349727714), 'upper_band': np.float64(5721.352856712281), 'lower_band': np.float64(4760.926196022094), 'sma': np.float64(5241.1395263671875)}",27.048012251946304,5588.327207168432,5112.634398792583,5235.761484423583,5653.7234455823345,True,2025-08-22T10:06:29.455125
BEL,Aerospace & Defence,STRONG_BUY,38.5,374.20001220703125,355.0495582242497,"[402.92569318120354, 412.5009201725943, 431.65137415537583]",358.879649020806,104,38916.80126953125,1991.647214209279,1.991647214209279,2.166666666666667,1.0292884163252294,-3.5442710574428986,7.660181593112619,2.0470821334111875,"{'buy_score': 385.0, 'sell_score': 130.0}","{'signal': 'SELL', 'strength': 70, 'fast_ema': np.float64(380.00314559724603), 'slow_ema': np.float64(385.2928669250548), 'trend': 'BEARISH', 'crossover': np.False_}","{'signal': 'BUY', 'strength': 65, 'rsi': np.float64(43.36675973109332), 'vwap': np.float64(331.4944196339193), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'SELL', 'strength': 60, 'short_ma': np.float64(381.44935302734376), 'long_ma': np.float64(398.3319854736328), 'crossover': 'NONE', 'ma_distance': np.float64(4.238332110391517)}","{'signal': 'STRONG_BUY', 'strength': 80, 'supertrend': np.float64(268.46188430592537), 'direction': 'BULLISH', 'distance_pct': np.float64(28.25711503253635), 'atr': np.float64(7.816351710633569)}","{'signal': 'STRONG_BUY', 'strength': 80, 'bb_position': np.float64(0.08610674191588176), 'upper_band': np.float64(396.8494934727319), 'lower_band': np.float64(372.06598504289303), 'sma': np.float64(384.4577392578125)}",43.36675973109332,331.4944196339193,380.00314559724603,385.2928669250548,268.46188430592537,True,2025-08-22T10:06:29.504255
BLUESTARCO,FMCG,STRONG_SELL,22.5,1901.300048828125,2068.4965079171316,"[1650.5053601946152, 1566.9071306501119, 1399.7106715611053]",1996.3650512695312,11,20914.300537109375,1839.1610499790722,1.8391610499790723,2.166666666666667,0.5465890522407271,8.286820591963826,66.87858363560268,3.5175186408280794,"{'buy_score': 130.0, 'sell_score': 225.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(1855.9853156402753), 'slow_ema': np.float64(1815.3985310071907), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(67.57863501639744), 'vwap': np.float64(1858.5658286335768), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'BUY', 'strength': 60, 'short_ma': np.float64(1834.9500122070312), 'long_ma': np.float64(1784.963885498047), 'crossover': 'NONE', 'ma_distance': np.float64(2.800399891286149)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(2197.9917043626497), 'direction': 'BEARISH', 'distance_pct': np.float64(15.604673008733783), 'atr': np.float64(64.08572823660714)}","{'signal': 'SELL', 'strength': 65, 'bb_position': np.float64(0.8922799876011781), 'upper_band': np.float64(1931.9330443701758), 'lower_band': np.float64(1647.5569580712306), 'sma': np.float64(1789.7450012207032)}",67.57863501639744,1858.5658286335768,1855.9853156402753,1815.3985310071907,2197.9917043626497,True,2025-08-22T10:06:29.556773
CHAMBLFERT,Industrials,STRONG_BUY,23.0,562.6500244140625,511.5196278157647,"[639.3456193115092, 664.9108176106581, 716.0412142089559]",534.5175231933594,39,21943.350952148438,1994.0854673336144,1.9940854673336146,2.1666666666666665,0.2651743802872436,6.703970688308278,20.45215863931913,3.6349698306007863,"{'buy_score': 230.0, 'sell_score': 130.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(546.779499645956), 'slow_ema': np.float64(543.2930728557874), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'SELL', 'strength': 65, 'rsi': np.float64(65.80280147412027), 'vwap': np.float64(566.1482606222451), 'vwap_trend': 'FALLING', 'price_vs_vwap': 'BELOW'}","{'signal': 'NONE', 'strength': 0, 'short_ma': np.float64(541.7200012207031), 'long_ma': np.float64(543.9052482604981), 'crossover': 'NONE', 'ma_distance': np.float64(0.4017698021454542)}","{'signal': 'STRONG_BUY', 'strength': 80, 'supertrend': np.float64(548.8795971525595), 'direction': 'BEARISH', 'distance_pct': np.float64(2.4474232051875107), 'atr': np.float64(15.050013950892858)}","{'signal': 'SELL', 'strength': 65, 'bb_position': np.float64(0.8307615046442265), 'upper_band': np.float64(574.9354044202647), 'lower_band': np.float64(502.34329125844613), 'sma': np.float64(538.6393478393554)}",65.80280147412027,566.1482606222451,546.779499645956,543.2930728557874,548.8795971525595,True,2025-08-22T10:06:29.643006
EXIDEIND,Auto,STRONG_SELL,32.0,400.45001220703125,423.74465724400113,"[365.5080446515764, 353.8607221330915, 330.5660770961216]",419.08572823660717,85,34038.251037597656,1980.04482814244,1.9800448281424399,2.166666666666667,1.145824837108351,6.587702740441062,9.317858014787946,2.3268467301158795,"{'buy_score': 70.0, 'sell_score': 320.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(387.3514976237724), 'slow_ema': np.float64(385.008432048674), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(62.82767032651652), 'vwap': np.float64(379.06757680093955), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'NONE', 'strength': 0, 'short_ma': np.float64(382.55999755859375), 'long_ma': np.float64(384.53173828125), 'crossover': 'NONE', 'ma_distance': np.float64(0.512764104068336)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(465.18302962775704), 'direction': 'BEARISH', 'distance_pct': np.float64(16.16506816018251), 'atr': np.float64(7.971435546875)}","{'signal': 'STRONG_SELL', 'strength': 80, 'bb_position': np.float64(1.022956502258116), 'upper_band': np.float64(399.73426225465914), 'lower_band': np.float64(368.5557340832315), 'sma': np.float64(384.14499816894534)}",62.82767032651652,379.06757680093955,387.3514976237724,385.008432048674,465.18302962775704,True,2025-08-22T10:06:29.691207
CGPOWER,FMCG,STRONG_SELL,22.5,677.5499877929688,711.1660701206753,"[627.1258643014089, 610.3178231375557, 576.7017408098492]",704.442853655134,59,39975.449279785156,1983.348857334685,1.983348857334685,2.1666666666666674,0.3838226252658471,1.0589865697168586,13.446432931082589,1.984566921015319,"{'buy_score': 70.0, 'sell_score': 225.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(671.9928904546177), 'slow_ema': np.float64(671.0860583400997), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(58.191201853197676), 'vwap': np.float64(640.1389113142346), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'NONE', 'strength': 0, 'short_ma': np.float64(670.5550048828125), 'long_ma': np.float64(672.261247253418), 'crossover': 'NONE', 'ma_distance': np.float64(0.25380644467854413)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(786.9625930577959), 'direction': 'BEARISH', 'distance_pct': np.float64(16.148270568378944), 'atr': np.float64(10.571428571428571)}","{'signal': 'SELL', 'strength': 65, 'bb_position': np.float64(0.7590681309579064), 'upper_band': np.float64(686.2988983697977), 'lower_band': np.float64(649.986099188796), 'sma': np.float64(668.1424987792968)}",58.191201853197676,640.1389113142346,671.9928904546177,671.0860583400997,786.9625930577959,True,2025-08-22T10:06:29.773516
DABUR,FMCG,STRONG_BUY,22.5,515.7000122070312,483.36070360456193,"[564.2089751107352, 580.3786294119699, 612.7179380144391]",489.9150115966797,61,31457.700744628906,1972.6978247506283,1.9726978247506282,2.1666666666666656,2.0536414033036445,2.4230411533329197,12.935723440987724,2.5083814494451846,"{'buy_score': 225.0, 'sell_score': 0.0}","{'signal': 'NONE', 'strength': 0, 'fast_ema': np.float64(517.4796853287526), 'slow_ema': np.float64(515.6200482675516), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'BUY', 'strength': 65, 'rsi': np.float64(43.69070568594216), 'vwap': np.float64(496.9335979906875), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'NONE', 'strength': 0, 'short_ma': np.float64(513.3649963378906), 'long_ma': np.float64(511.4464820861816), 'crossover': 'NONE', 'ma_distance': np.float64(0.37511534811685415)}","{'signal': 'STRONG_BUY', 'strength': 80, 'supertrend': np.float64(484.6392547780411), 'direction': 'BULLISH', 'distance_pct': np.float64(6.023028251649642), 'atr': np.float64(13.821441650390625)}","{'signal': 'NONE', 'strength': 0, 'bb_position': np.float64(0.45317801826651427), 'upper_band': np.float64(537.6266882998452), 'lower_band': np.float64(497.52830742769373), 'sma': np.float64(517.5774978637695)}",43.69070568594216,496.9335979906875,517.4796853287526,515.6200482675516,484.6392547780411,True,2025-08-22T10:06:29.821097
BHEL,FMCG,STRONG_SELL,29.0,218.47999572753906,236.84607097080774,"[190.93088286263605, 181.7478452410017, 163.38176999773302]",229.40399551391602,108,23595.83953857422,1983.5361262730175,1.9835361262730178,2.166666666666666,0.48104323485174383,-2.4599355464514954,7.346430097307477,3.3625184186057138,"{'buy_score': 65.0, 'sell_score': 290.0}","{'signal': 'SELL', 'strength': 70, 'fast_ema': np.float64(222.67475925413308), 'slow_ema': np.float64(230.1291826285833), 'trend': 'BEARISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(35.234336884846), 'vwap': np.float64(222.90252656110314), 'vwap_trend': 'FALLING', 'price_vs_vwap': 'BELOW'}","{'signal': 'SELL', 'strength': 60, 'short_ma': np.float64(221.5800003051758), 'long_ma': np.float64(244.38237037658692), 'crossover': 'NONE', 'ma_distance': np.float64(9.330611711586752)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(264.8613008836494), 'direction': 'BEARISH', 'distance_pct': np.float64(21.229085528705014), 'atr': np.float64(5.122859409877232)}","{'signal': 'BUY', 'strength': 65, 'bb_position': np.float64(0.20466953960889925), 'upper_band': np.float64(252.52951635148145), 'lower_band': np.float64(209.71772638533497), 'sma': np.float64(231.1236213684082)}",35.234336884846,222.90252656110314,222.67475925413308,230.1291826285833,264.8613008836494,True,2025-08-22T10:06:29.874103
HINDPETRO,Industrials,STRONG_BUY,22.5,393.1499938964844,365.6300022952616,"[434.4299812983186, 448.18997709892994, 475.70996870015273]",373.4924942016601,72,28306.799560546875,1981.4393952880405,1.9814393952880407,2.166666666666667,0.3895353540527485,-1.8597134532010358,11.007996640489116,2.7999483177882234,"{'buy_score': 225.0, 'sell_score': 130.0}","{'signal': 'SELL', 'strength': 70, 'fast_ema': np.float64(394.7405175012626), 'slow_ema': np.float64(400.0069129630346), 'trend': 'BEARISH', 'crossover': np.False_}","{'signal': 'BUY', 'strength': 65, 'rsi': np.float64(39.44987724959777), 'vwap': np.float64(371.9746132184535), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'SELL', 'strength': 60, 'short_ma': np.float64(395.02100524902346), 'long_ma': np.float64(413.4969009399414), 'crossover': 'NONE', 'ma_distance': np.float64(4.468206569122865)}","{'signal': 'STRONG_BUY', 'strength': 80, 'supertrend': np.float64(356.6484306014938), 'direction': 'BULLISH', 'distance_pct': np.float64(9.284386076984484), 'atr': np.float64(9.13922143988216)}","{'signal': 'NONE', 'strength': 0, 'bb_position': np.float64(0.3186961961561121), 'upper_band': np.float64(420.62339951524973), 'lower_band': np.float64(380.29864943494556), 'sma': np.float64(400.46102447509764)}",39.44987724959777,371.9746132184535,394.7405175012626,400.0069129630346,356.6484306014938,True,2025-08-22T10:06:29.920766
SBIN,Bank,STRONG_SELL,22.5,825.7000122070312,850.9589538574219,"[787.8115997314453, 775.18212890625, 749.9231872558594]",845.9071655273438,79,65230.30096435547,1995.4563903808594,1.995456390380859,2.1666666666666665,0.5201686977603577,0.468459784080284,10.10357666015625,1.2236377026506495,"{'buy_score': 70.0, 'sell_score': 225.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(822.6977648137646), 'slow_ema': np.float64(816.8881788973504), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(78.55036907913143), 'vwap': np.float64(773.9828375481496), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'NONE', 'strength': 0, 'short_ma': np.float64(821.4600036621093), 'long_ma': np.float64(812.9525024414063), 'crossover': 'NONE', 'ma_distance': np.float64(1.0464942533732116)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(848.7013686065426), 'direction': 'BEARISH', 'distance_pct': np.float64(2.785679551830273), 'atr': np.float64(7.21429443359375)}","{'signal': 'SELL', 'strength': 65, 'bb_position': np.float64(0.7761497021970872), 'upper_band': np.float64(837.3383817749263), 'lower_band': np.float64(785.3466279906986), 'sma': np.float64(811.3425048828125)}",78.55036907913143,773.9828375481496,822.6977648137646,816.8881788973504,848.7013686065426,True,2025-08-22T10:06:29.970813
SAIL,Metals,STRONG_SELL,22.0,123.25,131.1660703931536,"[111.3758944102696, 107.4178592136928, 99.50178882053919]",129.4125,252,31059.0,1994.849739074708,1.994849739074708,2.1666666666666665,0.3793313984797443,-0.6449036937339087,3.1664281572614397,2.5691100667435616,"{'buy_score': 0.0, 'sell_score': 220.0}","{'signal': 'NONE', 'strength': 0, 'fast_ema': np.float64(123.16619803857385), 'slow_ema': np.float64(124.82397715754308), 'trend': 'BEARISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(48.105310632403054), 'vwap': np.float64(116.90350926832744), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'SELL', 'strength': 60, 'short_ma': np.float64(122.54700088500977), 'long_ma': np.float64(129.44400062561036), 'crossover': 'NONE', 'ma_distance': np.float64(5.328172574446859)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(131.67857197352816), 'direction': 'BEARISH', 'distance_pct': np.float64(6.838597950124272), 'atr': np.float64(2.8685706002371654)}","{'signal': 'NONE', 'strength': 0, 'bb_position': np.float64(0.4261196191572729), 'upper_band': np.float64(131.592510382818), 'lower_band': np.float64(117.05549071581481), 'sma': np.float64(124.32400054931641)}",48.105310632403054,116.90350926832744,123.16619803857385,124.82397715754308,131.67857197352816,True,2025-08-22T10:06:30.004569
TITAN,Miscellaneous,STRONG_SELL,32.0,3616.300048828125,3765.907156808036,"[3391.889386858259, 3317.0858328683034, 3167.4787248883927]",3735.9857352120534,13,47011.900634765625,1944.8924037388401,1.94489240373884,2.166666666666666,0.9732928525653232,4.312334080257532,59.842843191964285,1.6548085718538916,"{'buy_score': 70.0, 'sell_score': 320.0}","{'signal': 'BUY', 'strength': 70, 'fast_ema': np.float64(3532.839658000201), 'slow_ema': np.float64(3490.547588700744), 'trend': 'BULLISH', 'crossover': np.False_}","{'signal': 'NONE', 'strength': 0, 'rsi': np.float64(85.71427645320682), 'vwap': np.float64(3372.4700830730712), 'vwap_trend': 'RISING', 'price_vs_vwap': 'ABOVE'}","{'signal': 'NONE', 'strength': 0, 'short_ma': np.float64(3512.1), 'long_ma': np.float64(3489.500323486328), 'crossover': 'NONE', 'ma_distance': np.float64(0.6476479271706396)}","{'signal': 'STRONG_SELL', 'strength': 80, 'supertrend': np.float64(3719.249380209726), 'direction': 'BEARISH', 'distance_pct': np.float64(2.8468138702971326), 'atr': np.float64(50.385707310267854)}","{'signal': 'STRONG_SELL', 'strength': 80, 'bb_position': np.float64(0.9870386082156609), 'upper_band': np.float64(3620.6293974179007), 'lower_band': np.float64(3286.6105928164743), 'sma': np.float64(3453.6199951171875)}",85.71427645320682,3372.4700830730712,3532.839658000201,3490.547588700744,3719.249380209726,True,2025-08-22T10:06:30.055768
