ticker,sector,signal_type,current_price,entry_price,target_price,stop_loss,risk_reward_ratio,volume,position_size,risk_per_share,ema_20,ema_trend,rsi,inside_bar_data,timestamp,ist_time,bars_in_session
BAJFINANCE,Finance,SHORT_ENTRY,895.9000244140625,895.7000122070312,893.7999877929688,896.6500244140625,2.0,12014,1052,0.95001220703125,896.3367323479331,BEARISH,58.88943142361111,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 896.6500244140625, 'mother_bar_low': 895.7000122070312, 'inside_bar_high': 896.4000244140625, 'inside_bar_low': 895.8499755859375, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 4, 'entry_long_price': 896.6500244140625, 'entry_short_price': 895.7000122070312, 'stop_loss_long': 895.7000122070312, 'stop_loss_short': 896.6500244140625}",08:54:05,13:24:05,50
BEL,Aerospace & Defence,HOLD,377.29998779296875,377.29998779296875,377.29998779296875,377.29998779296875,0.0,273732,0,0.0,377.9835032632866,BEARISH,29.99965122767857,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 377.8999938964844, 'mother_bar_low': 377.25, 'inside_bar_high': 377.6499938964844, 'inside_bar_low': 377.29998779296875, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 3, 'entry_long_price': 377.8999938964844, 'entry_short_price': 377.25, 'stop_loss_long': 377.25, 'stop_loss_short': 377.8999938964844}",08:54:05,13:24:05,50
EXIDEIND,Auto,HOLD,398.29998779296875,398.29998779296875,398.29998779296875,398.29998779296875,0.0,2434,0,0.0,398.2165512484523,BULLISH,39.130377093118916,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
CHAMBLFERT,Industrials,HOLD,562.7000122070312,562.7000122070312,562.7000122070312,562.7000122070312,0.0,3612,0,0.0,562.5249220054261,BULLISH,46.66684750912124,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 562.9500122070312, 'mother_bar_low': 561.7999877929688, 'inside_bar_high': 562.4500122070312, 'inside_bar_low': 561.8499755859375, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 3, 'entry_long_price': 562.9500122070312, 'entry_short_price': 561.7999877929688, 'stop_loss_long': 561.7999877929688, 'stop_loss_short': 562.9500122070312}",08:54:05,13:24:05,50
LAURUSLABS,Pharmaceuticals,HOLD,882.7000122070312,882.7000122070312,882.7000122070312,882.7000122070312,0.0,6111,0,0.0,883.6879281895477,BEARISH,45.36073392648151,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
ABB,FMCG,SHORT_ENTRY,5097.0,5085.0,5070.0,5092.5,2.0,947,133,7.5,5097.710629189926,BEARISH,42.5531914893617,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 5092.5, 'mother_bar_low': 5085.0, 'inside_bar_high': 5089.0, 'inside_bar_low': 5085.5, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 3, 'entry_long_price': 5092.5, 'entry_short_price': 5085.0, 'stop_loss_long': 5085.0, 'stop_loss_short': 5092.5}",08:54:05,13:24:05,50
BLUESTARCO,FMCG,HOLD,1926.800048828125,1926.800048828125,1926.800048828125,1926.800048828125,0.0,3804,0,0.0,1912.9403082237698,BULLISH,79.7814080072575,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
CESC,Miscellaneous,HOLD,166.88999938964844,166.88999938964844,166.88999938964844,166.88999938964844,0.0,13677,0,0.0,166.5509275365552,BULLISH,72.07170055122548,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 166.8300018310547, 'mother_bar_low': 166.67999267578125, 'inside_bar_high': 166.80999755859375, 'inside_bar_low': 166.69000244140625, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 5, 'entry_long_price': 166.8300018310547, 'entry_short_price': 166.67999267578125, 'stop_loss_long': 166.67999267578125, 'stop_loss_short': 166.8300018310547}",08:54:05,13:24:05,50
DABUR,FMCG,HOLD,518.2000122070312,518.2000122070312,518.2000122070312,518.2000122070312,0.0,1814,0,0.0,517.58231950363,BULLISH,61.76465308320618,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 518.1500244140625, 'mother_bar_low': 517.4500122070312, 'inside_bar_high': 518.0499877929688, 'inside_bar_low': 517.75, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 5, 'entry_long_price': 518.1500244140625, 'entry_short_price': 517.4500122070312, 'stop_loss_long': 517.4500122070312, 'stop_loss_short': 518.1500244140625}",08:54:05,13:24:05,50
CGPOWER,FMCG,SHORT_ENTRY,676.75,674.5999755859375,669.7999267578125,677.0,2.0,15110,416,2.4000244140625,677.0710062180169,BEARISH,37.68111668720846,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 677.0, 'mother_bar_low': 674.5999755859375, 'inside_bar_high': 676.9000244140625, 'inside_bar_low': 676.1500244140625, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 2, 'entry_long_price': 677.0, 'entry_short_price': 674.5999755859375, 'stop_loss_long': 674.5999755859375, 'stop_loss_short': 677.0}",08:54:05,13:24:05,50
HINDPETRO,Industrials,HOLD,390.54998779296875,390.54998779296875,390.54998779296875,390.54998779296875,0.0,5947,0,0.0,390.9899410237733,BEARISH,37.87857770379618,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 391.20001220703125, 'mother_bar_low': 390.5, 'inside_bar_high': 390.8500061035156, 'inside_bar_low': 390.54998779296875, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 5, 'entry_long_price': 391.20001220703125, 'entry_short_price': 390.5, 'stop_loss_long': 390.5, 'stop_loss_short': 391.20001220703125}",08:54:05,13:24:05,50
TITAN,Miscellaneous,HOLD,3623.800048828125,3623.800048828125,3623.800048828125,3623.800048828125,0.0,9878,0,0.0,3620.069388960616,BULLISH,44.44462174280745,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
BHEL,FMCG,LONG_ENTRY,218.32000732421875,218.6699981689453,220.4099884033203,217.8000030517578,2.0,13012,1149,0.8699951171875,218.29620796441992,BULLISH,52.41953842651555,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 218.6699981689453, 'mother_bar_low': 217.8000030517578, 'inside_bar_high': 218.0800018310547, 'inside_bar_low': 217.89999389648438, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 4, 'entry_long_price': 218.6699981689453, 'entry_short_price': 217.8000030517578, 'stop_loss_long': 217.8000030517578, 'stop_loss_short': 218.6699981689453}",08:54:05,13:24:05,50
SBIN,Bank,HOLD,819.5499877929688,819.5499877929688,819.5499877929688,819.5499877929688,0.0,24655,0,0.0,819.8262391967352,BEARISH,50.0,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
SAIL,Metals,HOLD,122.0199966430664,122.0199966430664,122.0199966430664,122.0199966430664,0.0,7271,0,0.0,122.08078939771313,BEARISH,41.332831478505014,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 122.0999984741211, 'mother_bar_low': 121.91999816894531, 'inside_bar_high': 122.08000183105469, 'inside_bar_low': 121.93000030517578, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 2, 'entry_long_price': 122.0999984741211, 'entry_short_price': 121.91999816894531, 'stop_loss_long': 121.91999816894531, 'stop_loss_short': 122.0999984741211}",08:54:05,13:24:05,50
CIPLA,Pharmaceuticals,HOLD,1594.0999755859375,1594.0999755859375,1594.0999755859375,1594.0999755859375,0.0,3440,0,0.0,1594.1210089705685,BEARISH,23.21416893732969,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
HDFCBANK,Bank,LONG_ENTRY,1971.699951171875,1968.5,1973.5,1966.0,2.0,62157,400,2.5,1968.2257562172845,BULLISH,71.71674825217939,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1968.5, 'mother_bar_low': 1966.0, 'inside_bar_high': 1967.4000244140625, 'inside_bar_low': 1966.0999755859375, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 5, 'entry_long_price': 1968.5, 'entry_short_price': 1966.0, 'stop_loss_long': 1966.0, 'stop_loss_short': 1968.5}",08:54:05,13:24:05,50
DRREDDY,Pharmaceuticals,HOLD,1282.199951171875,1282.199951171875,1282.199951171875,1282.199951171875,0.0,9650,0,0.0,1280.0053219366853,BULLISH,65.71421097605636,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
HINDZINC,Metals,HOLD,426.3999938964844,426.3999938964844,426.3999938964844,426.3999938964844,0.0,2146,0,0.0,426.6461002143347,BEARISH,36.170378546847616,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
HEROMOTOCO,Auto,HOLD,5006.5,5006.5,5006.5,5006.5,0.0,8615,0,0.0,5006.479783468852,BULLISH,38.77553562531141,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
HFCL,Telecom,HOLD,73.91999816894531,73.91999816894531,73.91999816894531,73.91999816894531,0.0,51848,0,0.0,73.67220274123059,BULLISH,71.21191103712951,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
LICHSGFIN,Finance,HOLD,565.9000244140625,565.9000244140625,565.9000244140625,565.9000244140625,0.0,2342,0,0.0,565.6524567252997,BULLISH,51.250476844434274,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
KOTAKBANK,Bank,HOLD,1993.0,1993.0,1993.0,1993.0,0.0,5848,0,0.0,1993.1763910350264,BEARISH,53.84642471477534,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1991.800048828125, 'mother_bar_low': 1990.5999755859375, 'inside_bar_high': 1991.4000244140625, 'inside_bar_low': 1991.0, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 4, 'entry_long_price': 1991.800048828125, 'entry_short_price': 1990.5999755859375, 'stop_loss_long': 1990.5999755859375, 'stop_loss_short': 1991.800048828125}",08:54:05,13:24:05,50
INFY,I.T,HOLD,1492.800048828125,1492.800048828125,1492.800048828125,1492.800048828125,0.0,19587,0,0.0,1494.3906713588633,BEARISH,47.407541369020706,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1496.0, 'mother_bar_low': 1494.0, 'inside_bar_high': 1495.5999755859375, 'inside_bar_low': 1494.199951171875, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 5, 'entry_long_price': 1496.0, 'entry_short_price': 1494.0, 'stop_loss_long': 1494.0, 'stop_loss_short': 1496.0}",08:54:05,13:24:05,50
TRENT,FMCG,HOLD,5426.0,5426.0,5426.0,5426.0,0.0,4039,0,0.0,5450.568291885489,BEARISH,19.327731092436963,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
MFSL,Finance,HOLD,1644.300048828125,1644.300048828125,1644.300048828125,1644.300048828125,0.0,1291,0,0.0,1647.6303010925596,BEARISH,29.16687859213671,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
JSWSTEEL,Metals,LONG_ENTRY,1054.199951171875,1055.9000244140625,1065.0999755859375,1051.300048828125,2.0,4321,217,4.5999755859375,1053.931478575717,BULLISH,51.612585650153584,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1055.9000244140625, 'mother_bar_low': 1051.300048828125, 'inside_bar_high': 1054.4000244140625, 'inside_bar_low': 1053.0, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 3, 'entry_long_price': 1055.9000244140625, 'entry_short_price': 1051.300048828125, 'stop_loss_long': 1051.300048828125, 'stop_loss_short': 1055.9000244140625}",08:54:05,13:24:05,50
LUPIN,Pharmaceuticals,HOLD,1974.300048828125,1974.300048828125,1974.300048828125,1974.300048828125,0.0,875,0,0.0,1971.7663572671586,BULLISH,70.19261241593014,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
NCC,Realty,HOLD,217.27999877929688,217.27999877929688,217.27999877929688,217.27999877929688,0.0,1050,0,0.0,217.47589359302142,BEARISH,39.175233405957265,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 217.3000030517578, 'mother_bar_low': 217.1199951171875, 'inside_bar_high': 217.27999877929688, 'inside_bar_low': 217.25, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 1, 'entry_long_price': 217.3000030517578, 'entry_short_price': 217.1199951171875, 'stop_loss_long': 217.1199951171875, 'stop_loss_short': 217.3000030517578}",08:54:05,13:24:05,50
PEL,Finance,LONG_ENTRY,1167.800048828125,1168.5,1175.10009765625,1165.199951171875,2.0,391,303,3.300048828125,1166.3869830986914,BULLISH,67.83244839772591,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1168.5, 'mother_bar_low': 1165.199951171875, 'inside_bar_high': 1168.300048828125, 'inside_bar_low': 1166.199951171875, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 2, 'entry_long_price': 1168.5, 'entry_short_price': 1165.199951171875, 'stop_loss_long': 1165.199951171875, 'stop_loss_short': 1168.5}",08:54:05,13:24:05,50
ONGC,Oils,HOLD,236.55999755859375,236.55999755859375,236.55999755859375,236.55999755859375,0.0,24132,0,0.0,236.81230904649402,BEARISH,44.973519343796426,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:05,13:24:05,50
VEDL,Industrials,LONG_ENTRY,445.1499938964844,445.8500061035156,447.6499938964844,444.95001220703125,2.0,21060,1111,0.899993896484375,444.9194181894602,BULLISH,63.52924281046925,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 445.8500061035156, 'mother_bar_low': 444.95001220703125, 'inside_bar_high': 445.20001220703125, 'inside_bar_low': 445.0, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 1, 'entry_long_price': 445.8500061035156, 'entry_short_price': 444.95001220703125, 'stop_loss_long': 444.95001220703125, 'stop_loss_short': 445.8500061035156}",08:54:06,13:24:06,50
GRASIM,Miscellaneous,HOLD,2818.5,2818.5,2818.5,2818.5,0.0,1559,0,0.0,2821.4464475973205,BEARISH,40.602055800293684,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 2821.89990234375, 'mother_bar_low': 2819.300048828125, 'inside_bar_high': 2821.800048828125, 'inside_bar_low': 2821.0, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 4, 'entry_long_price': 2821.89990234375, 'entry_short_price': 2819.300048828125, 'stop_loss_long': 2819.300048828125, 'stop_loss_short': 2821.89990234375}",08:54:06,13:24:06,50
PIDILITIND,Industrials,HOLD,3097.89990234375,3097.89990234375,3097.89990234375,3097.89990234375,0.0,2300,0,0.0,3087.288746262074,BULLISH,77.10827425949348,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:06,13:24:06,50
PATANJALI,FMCG,HOLD,1794.4000244140625,1794.4000244140625,1794.4000244140625,1794.4000244140625,0.0,143,0,0.0,1798.38939972869,BEARISH,21.105740329526085,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:06,13:24:06,50
RELIANCE,Industrials,LONG_ENTRY,1414.300048828125,1413.9000244140625,1417.5001220703125,1412.0999755859375,2.0,32903,555,1.800048828125,1413.4395904303499,BULLISH,53.333720862640234,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1413.9000244140625, 'mother_bar_low': 1412.0999755859375, 'inside_bar_high': 1413.5999755859375, 'inside_bar_low': 1413.0999755859375, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 2, 'entry_long_price': 1413.9000244140625, 'entry_short_price': 1412.0999755859375, 'stop_loss_long': 1412.0999755859375, 'stop_loss_short': 1413.9000244140625}",08:54:06,13:24:06,50
SHREECEM,Industrials,SHORT_ENTRY,30080.0,30075.0,29985.0,30120.0,2.0,116,22,45.0,30122.0724513157,BEARISH,39.743589743589745,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 30120.0, 'mother_bar_low': 30075.0, 'inside_bar_high': 30100.0, 'inside_bar_low': 30085.0, 'entry_signal': 'SHORT_ENTRY', 'bars_since_inside': 4, 'entry_long_price': 30120.0, 'entry_short_price': 30075.0, 'stop_loss_long': 30075.0, 'stop_loss_short': 30120.0}",08:54:06,13:24:06,50
TATAELXSI,I.T,HOLD,5575.0,5575.0,5575.0,5575.0,0.0,403,0,0.0,5573.8725281515835,BULLISH,52.17391304347826,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:06,13:24:06,50
TATAPOWER,Miscellaneous,HOLD,386.95001220703125,386.95001220703125,386.95001220703125,386.95001220703125,0.0,26902,0,0.0,386.46589133615896,BULLISH,73.01588839372215,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'entry_signal': 'NONE', 'bars_since_inside': 999, 'entry_long_price': 0, 'entry_short_price': 0, 'stop_loss_long': 0, 'stop_loss_short': 0}",08:54:06,13:24:06,50
ACC,Industrials,HOLD,1824.5999755859375,1824.5999755859375,1824.5999755859375,1824.5999755859375,0.0,100,0,0.0,1828.446702320815,BEARISH,37.72467783081275,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1829.800048828125, 'mother_bar_low': 1822.0, 'inside_bar_high': 1825.9000244140625, 'inside_bar_low': 1823.9000244140625, 'entry_signal': 'LONG_ENTRY', 'bars_since_inside': 3, 'entry_long_price': 1829.800048828125, 'entry_short_price': 1822.0, 'stop_loss_long': 1822.0, 'stop_loss_short': 1829.800048828125}",08:54:06,13:24:06,50
