ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,original_recommendation,original_confidence,sentiment_signal,sentiment_score,sentiment_confidence,news_count,sentiment_breakdown,sector,enhancement_status,sector_avg_change,relative_to_sector
NATIONALUM,Nationalum,186.22999572753906,188.40110632856195,194.65234375,191.52672503928096,BUY,85.0,4.5866866247455125,10.677213580206022,1.1658221826946176,4.522551799218814,2.844186990956708,"Combined models predict a moderate 2.84% price increase (ARIMA: 1.17%, LSTM: 4.52% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,2.8105908211701367
HINDALCO,Hindalco,673.9500122070312,692.0677565114128,682.3333740234375,687.2005652674252,BUY,85.0,12.129140150351553,28.92378184944788,2.6882920062646893,1.2439144839470613,1.9661032451058837,"Combined models predict a moderate 1.97% price increase (ARIMA: 2.69%, LSTM: 1.24% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.9325070753193125
TATASTEEL,Tatasteel,159.0,162.28876870869993,160.63229370117188,161.4605312049359,BUY,85.0,2.959983826221194,7.18058715783206,2.06840799289304,1.026599812057783,1.5475039024754116,"Combined models predict a moderate 1.55% price increase (ARIMA: 2.07%, LSTM: 1.03% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.5139077326888404
VEDL,Vedl,440.75,452.7703979912889,465.3730773925781,459.07173769193355,STRONG BUY,90.0,9.216773376838773,24.00578849540867,2.727259895924882,5.5866312858940725,4.156945590909484,"Combined models predict a significant 4.16% price increase (ARIMA: 2.73%, LSTM: 5.59% - both models agree on direction)",True,STRONG BUY,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,4.123349421122914
NMDC,Nmdc,67.9000015258789,68.38174435434779,69.76771545410156,69.07472990422468,BUY,85.0,1.4102392156424195,3.1198543516608654,0.7094886857775308,2.7506831903542883,1.73008593806592,"Combined models predict a moderate 1.73% price increase (ARIMA: 0.71%, LSTM: 2.75% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.6964897682793487
HINDCOPPER,Hindcopper,264.75,274.77495305571887,287.9596862792969,281.3673196675079,STRONG BUY,95.0,6.402166567452402,14.32368748003663,3.7865733921506584,8.766642598412417,6.276607995281548,"Combined models predict a significant 6.28% price increase (ARIMA: 3.79%, LSTM: 8.77% - both models agree on direction)",True,STRONG BUY,95.0,BEARISH,0.3245474696159363,0.3245474696159363,1,"{'positive': 0, 'negative': 1, 'neutral': 0}",UNKNOWN,NEUTRAL_SENTIMENT,0.033596169786571116,6.243011825494977
BATAINDIA,Bataindia,1265.199951171875,1226.7697548179128,1230.916259765625,1228.843007291769,SELL,85.0,18.916517234177242,27.073609589346308,-3.0374800693255404,-2.709744920120743,-2.8736124947231327,"Combined models predict a moderate 2.87% price decrease (ARIMA: -3.04%, LSTM: -2.71% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-2.907208664509704
TITAN,Titan,3432.10009765625,3663.589069917908,3628.031494140625,3645.8102820292665,STRONG BUY,95.0,50.65522044726212,107.86884939545288,6.7448199549814944,5.708790271535926,6.22680511325871,"Combined models predict a significant 6.23% price increase (ARIMA: 6.74%, LSTM: 5.71% - both models agree on direction)",True,STRONG BUY,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,6.193208943472139
HAVELLS,Havells,1523.699951171875,1535.0050786861786,1578.9876708984375,1556.996374792308,BUY,85.0,25.08867779054118,57.24067534003871,0.7419523447256722,3.628517523022877,2.185234933874267,"Combined models predict a moderate 2.19% price increase (ARIMA: 0.74%, LSTM: 3.63% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,2.151638764087696
CROMPTON,Cromptom,342.79998779296875,352.07199173584405,346.327392578125,349.1996921569845,BUY,85.0,6.059448342943226,11.794299335699082,2.704785377202245,1.028997931962179,1.8668916545822039,"Combined models predict a moderate 1.87% price increase (ARIMA: 2.70%, LSTM: 1.03% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.8332954847956326
DIXON,Dixon,15710.0,15456.389796409605,15004.05859375,15230.224195079802,STRONG SELL,90.0,361.6275281465786,808.0775880243298,-1.6143233837708149,-4.493579925206874,-3.0539516544888503,"Combined models predict a significant 3.05% price decrease (ARIMA: -1.61%, LSTM: -4.49% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-3.0875478242754215
TIINDIA,Tiindia,2895.300048828125,2938.081102506411,3078.64111328125,3008.36110789383,STRONG BUY,90.0,65.32250730178036,151.98154940634592,1.4776034592891851,6.332368368084422,3.9049859136867955,"Combined models predict a significant 3.90% price increase (ARIMA: 1.48%, LSTM: 6.33% - both models agree on direction)",True,STRONG BUY,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,3.8713897439002243
MOTHERSON,Motherson,154.9199981689453,155.51504482727822,160.23956298828125,157.87730390777972,BUY,85.0,2.9884170302620507,8.221610277270067,0.38409931923959023,3.4337496012198363,1.908924460229704,"Combined models predict a moderate 1.91% price increase (ARIMA: 0.38%, LSTM: 3.43% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,1.8753282904431328
TVSMOTOR,Tvsmotor,2840.10009765625,2879.4361880876177,2916.478759765625,2897.9574739266213,BUY,85.0,44.261198702006475,98.45981285454681,1.3850247906342874,2.689294724943158,2.0371597577887224,"Combined models predict a moderate 2.04% price increase (ARIMA: 1.39%, LSTM: 2.69% - both models agree on direction)",True,BUY,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,2.003563588002151
TATAMOTORS,Tatamotors,692.7999877929688,688.7619633341927,686.3275146484375,687.5447389913152,HOLD,80.0,12.936818211928385,31.607094847292036,-0.5828557346890016,-0.9342484495634021,-0.7585520921261937,"Combined models predict relatively stable price (change: -0.76%) (ARIMA: -0.58%, LSTM: -0.93% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-0.7921482619127648
HEROMOTOCO,Heromotoco,4333.10009765625,4308.028319083262,4275.2548828125,4291.641600947882,HOLD,80.0,65.68912077035601,156.44634482383657,-0.5786106484488728,-1.3349614257708506,-0.9567860371098512,"Combined models predict relatively stable price (change: -0.96%) (ARIMA: -0.58%, LSTM: -1.33% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-0.9903822068964223
BHARATFORG,Bharatforg,1261.5,1305.9552825993705,1297.233642578125,1301.5944625887478,STRONG BUY,90.0,26.50287151463872,60.45404252957949,3.524001791468137,2.832631199217202,3.1783164953426692,"Combined models predict a significant 3.18% price increase (ARIMA: 3.52%, LSTM: 2.83% - both models agree on direction)",True,STRONG BUY,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,3.144720325556098
MRF,Mrf,150715.0,143130.44807386957,142694.625,142912.5365369348,STRONG SELL,95.0,1888.7306853952985,4433.360902340968,-5.032380271459662,-5.321550608764888,-5.176965440112275,"Combined models predict a significant 5.18% price decrease (ARIMA: -5.03%, LSTM: -5.32% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-5.210561609898845
ASHOKLEY,Ashokley,250.89999389648438,249.71030837779335,243.1419219970703,246.42611518743183,SELL,85.0,4.247487439613669,9.873289091398112,-0.4741672170713,-3.0920972850301727,-1.7831322510507361,"Combined models predict a moderate 1.78% price decrease (ARIMA: -0.47%, LSTM: -3.09% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.29552940527598065,0.0,1,"{'positive': 0, 'negative': 0, 'neutral': 1}",UNKNOWN,NEUTRAL_SENTIMENT,0.033596169786571116,-1.8167284208373073
EICHERMOT,Eichermot,5695.0,5682.251988571009,5634.97607421875,5658.61403139488,HOLD,80.0,76.11070985148092,197.45626508351648,-0.22384567917455747,-1.0539758697322212,-0.6389107744533814,"Combined models predict relatively stable price (change: -0.64%) (ARIMA: -0.22%, LSTM: -1.05% - both models agree on direction)",True,HOLD,80.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-0.6725069442399525
BALKRISIND,Balkrisind,2620.89990234375,2605.346098773457,2538.622314453125,2571.984206613291,SELL,85.0,43.28515325424082,93.15659534939594,-0.593452789112012,-3.139287685769607,-1.8663702374408095,"Combined models predict a moderate 1.87% price decrease (ARIMA: -0.59%, LSTM: -3.14% - both models agree on direction)",True,SELL,85.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-1.8999664072273807
SONACOMS,Sonacoms,455.6000061035156,468.7198463775935,470.9718017578125,469.845824067703,STRONG BUY,90.0,11.932090753537846,23.101175760149236,2.879683954854242,3.373967394285832,3.126825674570037,"Combined models predict a significant 3.13% price increase (ARIMA: 2.88%, LSTM: 3.37% - both models agree on direction)",True,STRONG BUY,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,3.0932295047834657
