,Open,High,Low,Close,Volume
2023-07-20 04:45:00,1517.5,1578.449951171875,1515.0999755859375,1570.5,1085712
2023-07-21 04:45:00,1567.0,1630.0,1547.8499755859375,1623.8499755859375,1001914
2023-07-24 04:45:00,1629.8499755859375,1654.199951171875,1586.199951171875,1597.199951171875,655490
2023-07-25 04:45:00,1608.9000244140625,1618.800048828125,1572.050048828125,1599.1500244140625,345034
2023-07-26 04:45:00,1607.300048828125,1616.75,1585.550048828125,1592.699951171875,228653
2023-07-27 04:45:00,1605.8499755859375,1617.050048828125,1572.699951171875,1590.8499755859375,211481
2023-07-28 04:45:00,1592.8499755859375,1598.75,1545.0,1554.449951171875,312592
2023-07-31 04:45:00,1560.449951171875,1569.050048828125,1524.699951171875,1541.0999755859375,454373
2023-08-01 04:45:00,1549.4000244140625,1549.4000244140625,1510.4000244140625,1515.9000244140625,281717
2023-08-02 04:45:00,1520.0,1525.0,1475.0,1478.6500244140625,324638
2023-08-03 04:45:00,1476.949951171875,1498.949951171875,1462.0,1487.8499755859375,219265
2023-08-04 04:45:00,1503.9000244140625,1517.949951171875,1495.699951171875,1503.949951171875,203558
2023-08-07 04:45:00,1532.0,1537.949951171875,1501.050048828125,1513.949951171875,260587
2023-08-08 04:45:00,1528.449951171875,1730.0,1525.0,1701.0,2312527
2023-08-09 04:45:00,1720.0,1774.949951171875,1664.5999755859375,1734.1500244140625,1323986
2023-08-10 04:45:00,1721.0,1758.4000244140625,1701.75,1737.5,549413
2023-08-11 04:45:00,1740.949951171875,1746.5,1706.0,1719.5999755859375,274139
2023-08-14 04:45:00,1717.0,1800.949951171875,1712.4000244140625,1775.449951171875,1044893
2023-08-16 04:45:00,1779.9000244140625,1810.0,1750.0,1773.449951171875,797919
2023-08-17 04:45:00,1769.800048828125,1801.949951171875,1762.699951171875,1779.800048828125,306085
2023-08-18 04:45:00,1777.050048828125,1778.3499755859375,1741.25,1761.25,262735
2023-08-21 04:45:00,1761.449951171875,1773.25,1745.550048828125,1761.800048828125,159168
2023-08-22 04:45:00,1768.699951171875,1803.25,1755.199951171875,1761.699951171875,370739
2023-08-23 04:45:00,1750.0,1761.0,1726.0,1753.199951171875,310910
2023-08-24 04:45:00,1765.0,1779.449951171875,1701.050048828125,1711.199951171875,318722
2023-08-25 04:45:00,1719.0,1728.0,1671.050048828125,1714.5999755859375,218488
2023-08-28 04:45:00,1700.050048828125,1800.0,1700.050048828125,1794.199951171875,526410
2023-08-29 04:45:00,1806.0,1807.9000244140625,1757.0,1775.300048828125,343822
2023-08-30 04:45:00,1794.800048828125,1802.949951171875,1776.25,1792.0999755859375,352728
2023-08-31 04:45:00,1805.0,1881.0,1795.8499755859375,1869.8499755859375,1637392
2023-09-01 04:45:00,1895.0,1937.25,1886.300048828125,1915.25,1075423
2023-09-04 04:45:00,1933.0,1933.0,1880.800048828125,1922.0,454708
2023-09-05 04:45:00,1925.0,1925.0,1835.0,1849.949951171875,731407
2023-09-06 04:45:00,1865.0,1882.1500244140625,1815.0,1826.199951171875,327461
2023-09-07 04:45:00,1835.0,1858.0,1815.550048828125,1831.0999755859375,316260
2023-09-08 04:45:00,1832.0,1888.800048828125,1832.0,1876.800048828125,385985
2023-09-11 04:45:00,1879.699951171875,1921.949951171875,1861.5,1880.4000244140625,403075
2023-09-12 04:45:00,1884.6500244140625,1884.699951171875,1762.050048828125,1770.5999755859375,488490
2023-09-13 04:45:00,1772.0,1797.550048828125,1705.0,1756.199951171875,584196
2023-09-14 04:45:00,1763.0,1793.699951171875,1740.050048828125,1788.050048828125,283257
2023-09-15 04:45:00,1808.699951171875,1902.449951171875,1803.0,1893.550048828125,820331
2023-09-18 04:45:00,1905.0,1906.25,1875.050048828125,1897.8499755859375,314208
2023-09-20 04:45:00,1892.0,1897.8499755859375,1827.0,1837.1500244140625,287664
2023-09-21 04:45:00,1833.050048828125,1882.3499755859375,1804.949951171875,1865.699951171875,315575
2023-09-22 04:45:00,1864.0,1879.5,1819.0,1842.4000244140625,265844
2023-09-25 04:45:00,1852.699951171875,1875.0,1836.300048828125,1864.699951171875,217613
2023-09-26 04:45:00,1890.0,1890.0,1844.4000244140625,1859.9000244140625,277006
2023-09-27 04:45:00,1880.0,1965.9000244140625,1852.949951171875,1943.699951171875,955518
2023-09-28 04:45:00,1947.0,1951.8499755859375,1866.4000244140625,1874.3499755859375,677028
2023-09-29 04:45:00,1883.0,1883.0,1837.1500244140625,1850.6500244140625,407134
2023-10-03 04:45:00,1847.0,1867.1500244140625,1824.050048828125,1840.25,306772
2023-10-04 04:45:00,1844.699951171875,1866.0,1826.550048828125,1858.5,304286
2023-10-05 04:45:00,1873.6500244140625,1999.800048828125,1855.050048828125,1989.199951171875,1561960
2023-10-06 04:45:00,2001.0,2042.949951171875,1960.0,1977.6500244140625,1264162
2023-10-09 04:45:00,1937.0,2069.35009765625,1934.9000244140625,2040.3499755859375,1238551
2023-10-10 04:45:00,2055.0,2109.0,2045.0,2071.699951171875,892968
2023-10-11 04:45:00,2071.0,2136.0,2051.89990234375,2102.699951171875,881995
2023-10-12 04:45:00,2124.0,2149.800048828125,2080.0,2107.35009765625,643394
2023-10-13 04:45:00,2190.0,2249.25,2055.550048828125,2069.60009765625,4862234
2023-10-16 04:45:00,2093.89990234375,2114.0,2046.0,2059.449951171875,847049
2023-10-17 04:45:00,2087.0,2129.0,2075.050048828125,2107.300048828125,602580
2023-10-18 04:45:00,2132.0,2198.0,2106.050048828125,2161.050048828125,1194313
2023-10-19 04:45:00,2150.0,2205.0,2132.35009765625,2200.449951171875,666793
2023-10-20 04:45:00,2204.0,2369.699951171875,2196.64990234375,2343.449951171875,3406239
2023-10-23 04:45:00,2348.0,2437.0,2211.25,2235.050048828125,1817473
2023-10-25 04:45:00,2255.0,2332.300048828125,2207.300048828125,2304.10009765625,1091910
2023-10-26 04:45:00,2294.0,2432.14990234375,2241.699951171875,2413.89990234375,1679781
2023-10-27 04:45:00,2420.0,2549.14990234375,2420.0,2535.800048828125,1723752
2023-10-30 03:45:00,2535.0,2576.14990234375,2460.0,2563.60009765625,1435050
2023-10-31 03:45:00,2561.0,2599.14990234375,2532.10009765625,2581.949951171875,807854
2023-11-01 03:45:00,2586.949951171875,2677.14990234375,2571.5,2629.550048828125,1313008
2023-11-02 03:45:00,2670.0,2687.0,2627.0,2640.699951171875,533308
2023-11-03 03:45:00,2650.0,2850.0,2634.0,2804.5,1672132
2023-11-06 03:45:00,2809.0,2897.85009765625,2587.0,2626.449951171875,2420122
