,Open,High,Low,Close,Volume
2023-10-05 04:45:00,18742.349609375,18950.650390625,18742.349609375,18930.44921875,8247.0
2023-10-06 04:45:00,18970.0,19342.0,18900.0,19303.94921875,18284.0
2023-10-09 04:45:00,19200.0,19300.0,19051.30078125,19256.650390625,20739.0
2023-10-10 04:45:00,19289.849609375,19772.69921875,19205.150390625,19717.75,26329.0
2023-10-11 04:45:00,19717.75,19950.0,19613.349609375,19698.099609375,26535.0
2023-10-12 04:45:00,19601.25,20564.75,19601.25,20455.69921875,81609.0
2023-10-13 04:45:00,20250.0,20932.099609375,20215.05078125,20529.44921875,60488.0
2023-10-16 04:45:00,20552.44921875,20760.0,20500.05078125,20674.05078125,25227.0
2023-10-17 04:45:00,20700.0,20775.69921875,20275.0,20335.30078125,30590.0
2023-10-18 04:45:00,20453.75,20499.94921875,20058.30078125,20121.099609375,18121.0
2023-10-19 04:45:00,20000.0,20285.94921875,19947.849609375,20232.25,12124.0
2023-10-20 04:45:00,20100.0,20230.0,19933.25,20088.69921875,12024.0
2023-10-23 04:45:00,20099.900390625,20135.94921875,19720.349609375,19825.599609375,21454.0
2023-10-25 04:45:00,19825.55078125,20136.0,19608.0,19696.0,22214.0
2023-10-26 04:45:00,19503.05078125,19816.19921875,19480.0,19648.349609375,23748.0
2023-10-27 04:45:00,19739.0,19964.80078125,19709.69921875,19742.650390625,23336.0
2023-10-30 03:45:00,19742.650390625,19927.19921875,19400.0,19478.099609375,17238.0
2023-10-31 03:45:00,19566.599609375,19608.849609375,19362.5,19450.94921875,8370.0
2023-11-01 03:45:00,19460.0,19585.0,19300.0,19358.400390625,10874.0
2023-11-02 03:45:00,19500.0,19551.0,19380.05078125,19454.05078125,12097.0
2023-11-03 03:45:00,19510.0,19608.0,19432.30078125,19519.5,6856.0
2023-11-06 03:45:00,19608.0,19673.849609375,19524.099609375,19565.099609375,8576.0
2023-11-07 03:45:00,19524.0,19824.94921875,19511.0,19757.69921875,14641.0
2023-11-08 03:45:00,19755.0,19895.55078125,19319.099609375,19646.94921875,31879.0
2023-11-09 03:45:00,19710.0,19710.0,19358.69921875,19535.0,32754.0
2023-11-10 03:45:00,19325.099609375,19800.0,19315.19921875,19572.44921875,35887.0
2023-11-13 03:45:00,19555.0,19700.0,19455.0,19476.400390625,7171.0
2023-11-15 03:45:00,19550.0,19785.0,19500.0,19722.400390625,27938.0
2023-11-16 03:45:00,19749.900390625,20700.0,19670.650390625,20589.150390625,72642.0
2023-11-17 03:45:00,20580.0,20899.94921875,20531.400390625,20651.900390625,32860.0
2023-11-20 03:45:00,20660.0,20900.900390625,20485.0,20579.19921875,21881.0
2023-11-21 03:45:00,20650.0,20832.599609375,20580.05078125,20718.150390625,19085.0
2023-11-22 03:45:00,20715.0,21217.650390625,20615.05078125,20821.30078125,59486.0
2023-11-23 03:45:00,20821.0,21250.0,20821.0,21207.30078125,42759.0
2023-11-24 03:45:00,21250.0,21333.0,20999.80078125,21036.25,26207.0
2023-11-28 03:45:00,21150.0,21350.55078125,21000.0,21273.599609375,24561.0
2023-11-29 03:45:00,21300.0,21850.0,21255.0,21663.900390625,55002.0
2023-11-30 03:45:00,21670.0,21800.0,21498.5,21599.55078125,14343.0
2023-12-01 03:45:00,21700.0,22125.349609375,21490.0,22083.55078125,49102.0
2023-12-04 03:45:00,22200.0,22200.0,21708.05078125,21944.44921875,32269.0
2023-12-05 03:45:00,21944.44921875,22127.94921875,21600.0,21652.94921875,115959.0
2023-12-06 03:45:00,21694.099609375,21799.30078125,21560.05078125,21592.55078125,15706.0
2023-12-07 03:45:00,21679.94921875,21830.0,21515.05078125,21665.94921875,19313.0
2023-12-08 03:45:00,21666.05078125,21746.69921875,21459.94921875,21626.25,14151.0
2023-12-11 03:45:00,21626.25,21960.0,21585.94921875,21889.75,25624.0
2023-12-12 03:45:00,21901.0,22110.0,21623.75,21734.650390625,23219.0
2023-12-13 03:45:00,21785.0,22050.0,21611.25,21949.599609375,19356.0
2023-12-14 03:45:00,22000.0,22244.0,21850.0,22061.849609375,28367.0
2023-12-15 03:45:00,22080.0,22163.900390625,21663.0,21708.150390625,34392.0
2023-12-18 03:45:00,21752.150390625,22043.05078125,21715.0,21970.44921875,9700.0
2023-12-19 03:45:00,22020.0,22130.0,21820.05078125,21888.599609375,12777.0
2023-12-20 03:45:00,21970.0,22077.650390625,21365.599609375,21494.150390625,30828.0
2023-12-21 03:45:00,21494.150390625,21700.0,21331.0,21624.25,18909.0
2023-12-22 03:45:00,21695.0,21895.94921875,21506.849609375,21633.94921875,20236.0
2023-12-26 03:45:00,21644.400390625,21998.0,21562.94921875,21905.900390625,10747.0
2023-12-27 03:45:00,21995.900390625,22063.650390625,21781.150390625,22008.44921875,15391.0
2023-12-28 03:45:00,22050.0,22240.0,21860.0,22102.69921875,21913.0
2023-12-29 03:45:00,22199.94921875,22300.0,21981.849609375,22203.80078125,25019.0
2024-01-01 03:45:00,22301.0,22635.94921875,22209.25,22433.44921875,19391.0
2024-01-02 03:45:00,22400.0,22469.5,22101.0,22334.349609375,10969.0
2024-01-03 03:45:00,22265.0,22382.400390625,22133.0,22289.150390625,6363.0
2024-01-04 03:45:00,22289.150390625,22550.0,22202.55078125,22488.80078125,14386.0
2024-01-05 03:45:00,22400.05078125,22819.849609375,22400.05078125,22691.650390625,28782.0
2024-01-08 03:45:00,22800.0,22810.0,22400.0,22466.69921875,10072.0
2024-01-09 03:45:00,22567.80078125,22935.44921875,22517.150390625,22754.599609375,13943.0
2024-01-10 03:45:00,22799.5,22824.80078125,22530.05078125,22615.19921875,9397.0
2024-01-11 03:45:00,22615.19921875,23265.55078125,22615.19921875,23081.30078125,35821.0
2024-01-12 03:45:00,23050.05078125,23282.69921875,22982.0,23229.650390625,13938.0
2024-01-15 03:45:00,23353.80078125,23477.0,23105.400390625,23400.150390625,19671.0
2024-01-16 03:45:00,23400.19921875,23568.94921875,23061.900390625,23098.349609375,22573.0
2024-01-17 03:45:00,23000.0,23181.150390625,22700.0,22919.5,27741.0
2024-01-18 03:45:00,22711.0,23033.25,22555.0,22813.900390625,21477.0
2024-01-19 03:45:00,22990.0,23262.69921875,22771.0,23184.30078125,19057.0
2024-01-23 03:45:00,23022.400390625,23121.0,22381.0,22774.80078125,56122.0
2024-01-24 03:45:00,22821.19921875,22893.69921875,22315.19921875,22444.150390625,35408.0
2024-01-25 03:45:00,22508.80078125,22836.400390625,22381.75,22779.30078125,10866.0
2024-01-29 03:45:00,22800.94921875,23348.69921875,22775.05078125,23248.80078125,64222.0
2024-01-30 03:45:00,23248.0,24172.05078125,23199.75,23875.400390625,37640.0
2024-01-31 03:45:00,23870.0,24050.0,23500.0,23568.150390625,31087.0
2024-02-01 03:45:00,23600.0,23850.0,23589.25,23679.69921875,18754.0
2024-02-02 03:45:00,23848.0,24272.69921875,23705.349609375,23956.75,24154.0
2024-02-05 03:45:00,24180.0,24360.0,23751.0,24163.099609375,14936.0
2024-02-06 03:45:00,24100.0,24955.599609375,24011.900390625,24891.44921875,19634.0
2024-02-07 03:45:00,24890.0,25300.0,24789.69921875,25223.150390625,20225.0
2024-02-08 03:45:00,25222.94921875,25386.25,24910.05078125,25299.05078125,21046.0
2024-02-09 03:45:00,25299.0,25519.0,24750.0,25457.150390625,23943.0
2024-02-12 03:45:00,25388.05078125,25659.94921875,25107.19921875,25237.900390625,36672.0
2024-02-13 03:45:00,25290.0,27300.0,25118.30078125,26300.75,85754.0
2024-02-14 03:45:00,26650.0,27502.0,25608.69921875,27399.55078125,152203.0
2024-02-15 03:45:00,27399.599609375,28400.0,27350.30078125,27955.099609375,89838.0
2024-02-16 03:45:00,27920.05078125,28635.849609375,27800.0,28329.05078125,48546.0
