,Open,High,Low,Close,Volume
2023-08-14 04:45:00,24101.0,24129.75,23651.0,23720.55078125,16303
2023-08-16 04:45:00,23690.0,23973.650390625,23506.05078125,23920.5,17783
2023-08-17 04:45:00,23960.0,24038.75,23720.150390625,23791.150390625,22943
2023-08-18 04:45:00,23811.0,23844.94921875,23451.0,23537.25,19865
2023-08-21 04:45:00,23669.94921875,23775.0,23524.25,23610.19921875,24001
2023-08-22 04:45:00,23730.0,23932.900390625,23658.30078125,23862.69921875,16676
2023-08-23 04:45:00,23869.69921875,24290.0,23625.0,23670.5,40294
2023-08-24 04:45:00,23749.94921875,23920.0,23598.05078125,23859.599609375,48660
2023-08-25 04:45:00,23820.0,23898.900390625,23611.0,23852.30078125,21989
2023-08-28 04:45:00,23949.0,24094.0,23752.400390625,24020.349609375,13891
2023-08-29 04:45:00,24024.0,24167.94921875,24008.0,24130.19921875,15323
2023-08-30 04:45:00,24150.0,24325.0,23966.0,24047.849609375,17040
2023-08-31 04:45:00,24051.0,24100.0,23795.0,23801.150390625,61972
2023-09-01 04:45:00,23830.0,24179.5,23820.0,24139.349609375,27413
2023-09-04 04:45:00,24590.0,25793.69921875,24449.0,25671.55078125,119316
2023-09-05 04:45:00,25700.0,25838.30078125,25400.0,25725.05078125,41937
2023-09-06 04:45:00,25700.0,25819.650390625,25500.0,25650.30078125,37280
2023-09-07 04:45:00,25640.0,25795.0,25494.05078125,25738.80078125,22670
2023-09-08 04:45:00,25700.0,26049.19921875,25650.0,25973.099609375,30009
2023-09-11 04:45:00,25970.0,26054.25,25710.0,25797.400390625,20820
2023-09-12 04:45:00,25949.900390625,26197.94921875,25505.650390625,26035.099609375,46577
2023-09-13 04:45:00,25902.0,26328.80078125,25850.0,26238.55078125,40313
2023-09-14 04:45:00,26200.0,26501.0,26150.400390625,26445.0,88963
2023-09-15 04:45:00,26400.0,27117.94921875,26162.0,26794.25,57876
2023-09-18 04:45:00,26675.349609375,26822.599609375,26306.0,26392.0,20562
2023-09-20 04:45:00,26349.94921875,26493.650390625,26050.0,26107.75,28131
2023-09-21 04:45:00,26100.0,26499.94921875,25950.0,26293.599609375,29874
2023-09-22 04:45:00,26255.0,26442.25,25820.0,25939.69921875,50277
2023-09-25 04:45:00,25939.69921875,26053.94921875,25780.05078125,25856.44921875,25519
2023-09-26 04:45:00,25915.0,26243.849609375,25915.0,26033.0,15228
2023-09-27 04:45:00,26085.0,26518.900390625,25900.0,26428.55078125,16809
2023-09-28 04:45:00,26506.0,26543.0,25551.25,25631.69921875,46905
2023-09-29 04:45:00,25799.0,25800.0,25342.55078125,25465.0,22812
2023-10-03 04:45:00,25499.900390625,25696.599609375,25309.099609375,25624.099609375,14992
2023-10-04 04:45:00,25590.0,25624.900390625,25313.94921875,25466.94921875,16317
2023-10-05 04:45:00,25500.0,25940.0,25437.55078125,25763.150390625,26035
2023-10-06 04:45:00,25899.69921875,25899.69921875,25552.05078125,25787.25,9701
2023-10-09 04:45:00,25649.05078125,25774.69921875,25501.0,25730.0,6134
2023-10-10 04:45:00,25750.05078125,26222.0,25750.05078125,26163.75,11972
2023-10-11 04:45:00,26227.94921875,26920.0,26200.0,26501.349609375,31504
2023-10-12 04:45:00,26675.0,26795.0,26428.5,26653.5,21583
2023-10-13 04:45:00,26455.0,26899.44921875,26455.0,26851.150390625,14489
2023-10-16 04:45:00,26850.0,27298.94921875,26576.80078125,26658.900390625,28766
2023-10-17 04:45:00,26710.05078125,26875.0,26528.099609375,26631.69921875,22537
2023-10-18 04:45:00,26700.05078125,26915.30078125,26517.0,26813.75,21203
2023-10-19 04:45:00,26560.0,26599.94921875,26000.0,26297.44921875,26692
2023-10-20 04:45:00,26297.44921875,26399.849609375,25900.0,26084.650390625,22799
2023-10-23 04:45:00,26025.0,26199.5,25560.55078125,25704.099609375,16692
2023-10-25 04:45:00,25649.0,25990.900390625,25447.30078125,25707.30078125,39909
2023-10-26 04:45:00,25680.0,25899.900390625,25375.849609375,25431.599609375,56816
2023-10-27 04:45:00,25431.599609375,25682.25,25309.0,25514.5,19096
2023-10-30 03:45:00,25699.900390625,25998.0,25361.05078125,25943.55078125,25503
2023-10-31 03:45:00,25930.69921875,26081.44921875,25551.05078125,25655.05078125,22304
